Title,Author(s),,Year,Country
12 The Effects of Reverberation Time and Amount on the Emotional Characteristics,Ronald Mo; Bin Wu; Andrew Horner,,2016,Netherlands
"16 General Characteristics Analysis of Chinese Folk Songs based on Layered
Stabilities Detection(LSD) Audio Segmentation Algorithm",Juan Li; Yinrui Wang; Xinyu Yang,,2016,Netherlands
21 Additive Synthesis with Band-Limited Oscillator Sections,Peter Pabon So Oishi,,2016,Netherlands
122 Panoramix: 3D mixing and post-production workstation,Thibaut Carpentier,,2016,Netherlands
116 Kronos Meta-Sequencer -- From Ugens to Orchestra; Score and Beyond,Vesa Norilo,,2016,Netherlands
36 Exploiting Mimetic Theory for Instrument Design,Philip Wigham Carola Boehm,,2016,Netherlands
40 Viewing the Wrong Side of the Screen in Experimental Electronica Performances,Sonya Hofer,,2016,Netherlands
48 Balancing Defiance and Cooperation: The Design and Human Critique of a Virtual Free improviser,Ritwik Banerji ,,2016,Netherlands
140 Introducing CatOracle: Corpus-based concatenative improvisation with the Audio Oracle algorithm,Aaron Einbond; Diemo Schwarz; Riccardo Borghesi; Norbert Schnell,,2016,Netherlands
134 A Permissive Graphical Patcher for SuperCollider Synths,Frédéric Dufeu,,2016,Netherlands
128 Multi-Point Nonlinear Spatial Distribution of Effects across the Soundfield,Stuart James,,2016,Netherlands
1 InMuSIC: an Interactive Multimodal System for Electroacoustic Improvisation,Giacomo Lepri,,2016,Netherlands
6 Molecular Sonification of Nuclear Magnetic Resonance Data as a Novel Tool for Sound creation,Falk Morawitz,,2016,Netherlands
26 Granular Spatialisation; a new method for diffusing sound in high-density arrays of loudspeakers,Javier Alejandro Garavaglia,,2016,Netherlands
585 The Paradox of Random Order,Jeyong Jung; Peter Pabon; Graham Flett,,2016,Netherlands
32 MOTIVIC THOROUGH-COMPOSITION APPLIED TO A NETWORK OF INTELLIGENT AGENTS,Juan Carlos Vasquez; Koray Tahiroglu; Johan Kildal,,2016,Netherlands
83 KARLAX PERFORMANCE TECHNIQUES: IT FEELS LIKE,Andrew Stewart,,2016,Netherlands
90 Music Industry; Academia and the Public,Carola Boehm,,2016,Netherlands
98 A cross-genres (ec)static perspective on contemporary experimental music,Riccardo Wanke,,2016,Netherlands
104 Diegetic Affordances and Affect in Electronic Music,Anıl Camci; Vincent Meelberg,,2016,Netherlands
110 The Effect of DJs’ Social Network on Music Popularity,Hyeongseok Wi; Kyung Hoon Hyun; Jongpil Lee; Wonjae Lee,,2016,Netherlands
54 Bio-Sensing and Bio-Feedback Instruments --- DoubleMyo; MuseOSC and MRTI2015 ---,Yoichi Nagashima,,2016,Netherlands
60 Fluid Control - Media Evolution In Water,Christoph Theiler; Renate Pittroff ,,2016,Netherlands
63 “MUCCA”: an Integrated Educational Platform for Generative Artwork and Collaborative,Takayuki Hamano; Tsuyoshi Kawamura; Ryu Nakagawa; Kiyoshi Furukawa,,2016,Netherlands
67 Electro Contra: Innovation for Tradition,Benjamin D. Smith,,2016,Netherlands
71 Honeybadger and LR.step: A Versitile Drum Sequencer DMI,Morgan Jenks,,2016,Netherlands
74 EVALUATING A SKETCHING INTERFACE FOR INTERACTION WITH CONCATENATIVE SYNTHESIS,Augoustinos Tsiros; Grégory Leplâtre,,2016,Netherlands
79 Recorderology - development of a web based instrumentation tool concerning recorder  instruments,Ulrike Mayer-Spohn; Keitaro Takahashi,,2016,Netherlands
149 Granular Wall: approaches to sonifying fluid motion,Jonathon Kirk; Lee Weisert,,2016,Netherlands
154 The Computer Realization of John Cage’s Williams Mix,Tom Erbe,,2016,Netherlands
159 Computer-Based Tutoring for Conducting Students,Andrea Salgian; David Vickerman,,2016,Netherlands
163 a Band is Born: a digital learning game for Max/MSP,Oliver Hancock,,2016,Netherlands
167 Detecting Pianist Hand Posture Mistakes for Virtual Piano Tutoring,David Johnson; Isabelle Dufour; Daniela Damian; George Tzanetakis,,2016,Netherlands
171 A Fluid Chord Voicing Generator,Daniel Scanteianu; Errick Jackson;  Robert M. Keller,,2016,Netherlands
176 How To Play the Piano,Richard Hoadley,,2016,Netherlands
181 Markov Networks for Free Improvisers,Stefano Kalonaris,,2016,Netherlands
186 Opensemble: A collaborative ensemble of open source music,Matías Zabaljáuregui; Diego Dorado,,2016,Netherlands
191 Designing a Digital Gamelan,Adrien L’ Honoré Nabe,,2016,Netherlands
195 Wavefolding: Modulation of Adjustable Symmetry in Sawtooth and Triangular Waveforms,Edward Kelly,,2016,Netherlands
199 Towards an Aesthetic of Instrumental Plausibility for Mixed Electronic Music,Richard Dudas; Pete Furniss,,2016,Netherlands
203 Noise in the Clouds,Eva Sjuve,,2016,Netherlands
206 Musical Style Modification as an Optimization Problem,Frank Zalkow; Stephan Brand; Bejamin Graf,,2016,Netherlands
Synchronization of van der Pol Oscillators with Delayed Coupling,Andreas Henrici; Martin Neukom,,2016,Netherlands
218 Using Software Emulation to Explore the Creative and Technical Processes in Computer Music: John Chowning’s Stria; a case study from the TaCEM project,Michael Clarke; Frédéric Dufeu; Peter Manning,,2016,Netherlands
224 Concatenative Synthesis via Chord-Based Segmentation For “An Experiment with Time”,Daniele Ghisi; Mattia Bergomi,,2016,Netherlands
228 Spatiotemporal Granulation,Muhammad Hafiz Wan Rosli; Curtis Roads,,2016,Netherlands
234 The Sound Analysis Toolbox (SATB),Tae Hong Park; Sumanth Srinivasan,,2016,Netherlands
241 short overview of parametric loudspeakers array technology and its implications in spatialization in electronic music,Jaime Reis,,2016,Netherlands
249 Extended Convolution Techniques for Cross-Synthesis,Chris Donahue; Tom Erbe; Miller Puckette,,2016,Netherlands
255 CREATE Studio Report 2016,Curtis Roads; Andres Cabrera;  JoAnn Kuchera-Morin; Clarence Barlow,,2016,Netherlands
258 Computer Music Studio and Sonic Lab at Anton Bruckner University Studio Report,Andreas Weixler; Se-Lien Chuang,,2016,Netherlands
270 Electroacoustic Music as Born Digital Heritage,Hannah Bosma,,2016,Netherlands
275 COMPUTER MUSIC INTERPRETATION IN PRACTICE,Serge Lemouton,,2016,Netherlands
280 New Roles for Computer Musicians in S.T.E.A.M.,Jeremy C. Baguyos,,2016,Netherlands
285 The Things of Shapes: Waveform Generation using 3D Vertex Data,Kevin Schlei; Rebecca Yoshikane,,2016,Netherlands
290 Sound vest for dance performance,Felipe Otondo; Rodrigo Torres,,2016,Netherlands
294 WebHexIso: A Customizable Web-based Hexagonal Isomorphic Musical Keyboard Interface,Hanlin Hu; David Gerhard,,2016,Netherlands
298 Roulette: A Customized Circular Sequencer for Generative Music,Daniel McNamara; Ajay Kapur ,,2016,Netherlands
302 MusicBox: creating a musical space with mobile devices,Jan-Torsten Milde,,2016,Netherlands
306 Frequency Domain Spatial Mapping with the LEAP Motion Controller,David Kim-Boyle,,2016,Netherlands
312 Zirkonium 3.1 - a toolkit for spatial composition and performance,Chikashi Miyama; Götz Dipper; Ludger Brummer,,2016,Netherlands
