Title;Author(s);Year;Country
Granular Synthesis as Fractal Micropolyphony;Rhys, Paul;2017;China
Recursive Generation of Rhythmic Structures with PTGGs;"Heim, Brian; Quick, Donya";2017;China
Siren: Hierarchical Composition Interface;"Ince, Can; Toka, Mert";2017;China
Mode and Register Categorizations for Predicting Mood in Classical Piano Music2;"Hong, Yu; Chau, Chuck-Jee; Horner, Andrew";2017;China
A Sep2Tree Model for Recognizing Synthetic Bach Chorales;"Ni, Xiuyan; Ma, Weicheng; Ni, Zhaoheng; Haralick, Robert";2017;China
Composition by Conversation;"Quick, Donya; Morrison, Clayton T.";2017;China
A Melody Composer for both Tonal and Non-Tonal Languages;"Yu, Coleman; Chi-Wing Wong, Raymond";2017;China
INScore Time Model;"Fober, Dominique; Orlarey, Yann; Letz, Stephane";2017;China
Extending dataflows with temporal graphs;"Celerier, Jean-Michaël; Desainte-Catherine, Myriam; Couturier, Jean-Michel";2017;China
Time, Timelines and Temporal Scopes in the Antescofo DLS v1.0;"Giavitto, Jean-Louis; Echeveste, José; Cont, Arshia; Cuvillier, Philippe";2017;China
Investigating Guqin Left Hand Modulation Techniques;"He, Jingyin; Murphy, Jim; Carnegie, Dale A.; Kapur, Ajay";2017;China
LISP in Max: Exploratory Computer-Aided Composition in Real-Time;Vincenot, Julien;2017;China
Update-caching Technique for Unit-generator-based Sound Synthesis;Nishino, Hiroki;2017;China
MESH2FAUST: a Modal Physical Model Generator for the Faust Programming Language - Application to Bell Modeling;"Michon, Romain; Martin, Sara R.; Smith, Julius O.";2017;China
Time-Flow Concepts and Architectures For Music and Media Synchronization;Dannenberg, Roger B.;2017;China
"Embodied Sonic Meditation and its Proof-of-Concept: ""Resonance of the Heart""";"Wu, Jiayue Cecilia; Smith, Julius O.; Zhou, Yijun; Wright, Matthew James";2017;China
Callas as Violetta: A Computer-Assisted Study on Her Recorded Performances of La Traviata;"Yang, Jian; Huang, Ying; Everett, William";2017;China
Speculative Designs: Towards a Social Music;"Ouzounian, Gascia; Haworth, Christopher; Bennett, Peter";2017;China
Token of Enunciation in Multimedia Performance;Ciciliani, Marko;2017;China
Performance Practice of Electroacoustic Music. Towards a practice-based exchange between musicology and performance;"Pérez, Germán Toro; Bennett, Lucas";2017;China
"""This hardware is now obsolete."" Marc-André Dalbavie's Diadèmes";Akkermann, Miriam;2017;China
Proposal of Score-Following Reflecting Gaze Information on Cost of DP matching;"Terasaki, Shiori; Takegawa, Yoshinari; Hirata, Keiji";2017;China
Evaluation of Positioning Learning Support System using True information and False Information and Vague Information for Violin Beginner;"Kumaki, Marimo; Takegawa, Yoshinari; Hirata, Keiji";2017;China
Visual Feedback for DDMM: A Simple Approach for Connecting and Synchronizing Unity Animations with Events from VST Plugins;"Steinmeier, Christine; Becking, Dominic";2017;China
Real-Time Composition, why it still matters: A look at recent developments and potentially new and interesting applications;Guedes, Carlos;2017;China
The Hyper Drumhead: Making Music with a Massive Real-time Physical Model;"Zappi, Victor; Allen, Andrew; Fels, Sidney";2017;China
Biomimicry: Analysis Of A Corpus-Based Interactive Improvisational System;Bradbury, James;2017;China
Tuning to Trust: System Calibration as Creative Enabler;Tremblay, Pierre Alexandre;2017;China
A Topo-Phonic Table for Tangible Sonic Interaction;"Schwarz, Diemo; Lorieux, Grégoire; Lizère, Emmanuelle; Tarrès, Ariadna Alsina; Bevilacqua, Frédéric";2017;China
Musical control of Granular Textures generated by Iterated Function Systems;Hancock, Oliver;2017;China
Sonic Explorations of Gumowski-Mira Maps;"Tan, Timothy S.; Lindborg, PerMagnus";2017;China
A Novel approach to Timbre Morphology: Audio-rate control of Additive Synthesis;James, Stuart;2017;China
Pacific Bell Tower, a sculptural sound installation for live sonification of earthquake data;Lindborg, PerMagnus;2017;China
SuperSampler: A New Polyphonic Concatenative Sample Synthesizer in SuperCollider for Sound Motive Creative, Live Coding, and Improvisation;Wu, Shu-Cheng Allen;2017;China
Machine Listening in Interactive Music Systems: Current State and Future Directions;Gioti, Artemi-Maria;2017;China
Typing heterogeneous dataflow graphs for static buffering and scheduling;"Donat-Bouillud, Pierre; Giavitto, Jean-Louis";2017;China
"DYC12 agents: merging the ""free"", ""reactive"", and ""scenario-based"" music generation paradigms";"Nika, Jérôme; Déguernel, Ken; Chemla-Romeu-Santos, Axel; Vincent, Emmanuel; Assayag, Gérard";2017;China
