Title;Author(s);Year;Country
SPATIALISATING THE SAME ACOUSMATIC COMPOSITION IN DIFFERENT VENUES FEATURING HIGH-DENSITY LOUDSPEAKER ARRAYS;Javier A. Garavaglia ;2019;USA
BUBBLES: AN OBJECT-ORIENTED APPROACH TO OBJECT-BASED SOUND FOR SPATIAL COMPOSITION AND BEYOND;Richard A. Garrett ;2019;USA
A TREE FALLS: TO ACOUSTICALLY SIGNIFY AUDIENCE PROXIMITY;"Jack Woodbury;Mo Zareei ";2019;USA
THE EXTENDED STEREO SPEAKER CONFIGURATION AS AN INDIVIDUAL SPATIAL EXPERIENCE;"Jesse Austin-Stewart;Mo Zareei ";2019;USA
COMPOSING IMAGES IN SPACE: SCHAEFFER'S ALLURE PROJECTED IN HIGHER-ORDER AMBISONICS;Natasha L. Barrett ;2019;USA
STEERING BEHAVIORS FOR SPATIAL SOUND AUTHORING;Thibaut Carpentier ;2019;USA
3D SOUND DIFFUSION IN CONCERT HALL;Emiliano del Cerro ;2019;USA
THE EMOTIONAL CHARACTERISTICS OF WOODWIND MUSICAL INSTRUMENTS WITH DIFFERENT PITCH AND DYNAMICS;"Hiu Ting Chan;Bing Yen Chang;Andrew Horner ";2019;USA
DESIGN AND CONTROL OF MIXED-ORDER SPHERICAL LOUDSPEAKER ARRAYS ;Stefan Riedel ;2019;USA
CLIMATE CATASTROPHE AS ENVIRONMENTAL MUSIC: THE ARAL SEA ;"Anders Bach Pedersen;Johan Lau Munkholm ";2019;USA
SYSTEMS THINKING AND ENVIRONMENTAL INTERACTION IN THE WORK OF TOMAS SARACENO AND DAVID DUNN;Tate Carson ;2019;USA
THE ACOUSTIC FEATURES AND THEIR RELATIONSHIP TO THE EMOTIONAL CHARACTERISTICS OF RAIN SOUND EFFECTS ;"Wing Lam Sin;Bing Yen Chang;Andrew Horner ";2019;USA
HINDEMITH AND ALGORITHMIC HARMONIC GENERATION ;Ken Paoli ;2019;USA
ELSE: AN ARTISTIC STUDY ON ALGORITHMIC AGENCY IN SOUND SYNTHESIS COMPOSITION;Daniele Pozzi ;2019;USA
SOUNDWRITER: REAL-TIME POETRY READING AND MUSIC GENERATION THROUGH EMOTION MAPPING;Toshihisa Tsuruoka ;2019;USA
"EXTENDED COMBINATORIAL STRUCTURES IN ""OUT OF TIME""  ";Logan B. Barrett ;2019;USA
THE RISSET CYCLE, RECENT USE CASES WITH SMARTVOX ;Jonathan Bell ;2019;USA
THE IRIMAS SOFTWARE: INTEGRATING INTERACTIVE LISTENING AND PLAY INTO MUSICOLOGICAL RESEARCH;"Frédéric Dufeu;Keitaro Takahashi;Axel Roebel;Michael Clarke ";2019;USA
TOWARD A QUEER CONCEPT OF THE SCORE ;J Diaz ;2019;USA
"THE TIMBRE OF FLUTTER ECHOES, AND THE COMPOSITION “FLUTR"" ";Tor Halmrast ;2019;USA
CREATION AND PRACTICE OF FANTASY SCENE MUSIC THEATRE OF CHINESE TRADITIONAL INSTRUMENTS AND ELECTRONIC MUSIC;"Minjie Lu;Xiao Hu;Yanmin Han ";2019;USA
WHAT IS THE COLOUR OF THAT EA MUSIC?  ;PerMagnus Lindborg ;2019;USA
REMNANT: EXPLORING PRESENCE AND ABSENCE THROUGH ACOUSTIC DISTURBANCES IN SPACE;"Miller Puckette;Kerry Hagan ";2019;USA
