AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Robert Van Rooyen', 'Andrew Schloss', 'George Tzanetakis']",Robert,male,"Copenhagen, Denmark",2017,3,Voice Coil Actuators for Percussion Robotics,NIME,Andrew,male,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Maurin Donneaud', 'Cedric Honnet', 'Paul Strohmeier']",Maurin,male,"Copenhagen, Denmark",2017,3,Designing a Multi-Touch eTextile for Music Performances,NIME,Cedric,male,Paul,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.99,0.99,,,,,,,,,,,,,,,
"['Peter Williams', 'Daniel Overholt']",Peter,male,"Copenhagen, Denmark",2017,2,bEADS Extended Actuated Digital Shaker,NIME,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Romain Michon', 'Julius O. Smith', 'Matthew Wright', 'Chris Chafe', 'John Granzow', 'Ge Wang']",Romain,male,"Copenhagen, Denmark",2017,6,Passively Augmenting Mobile Devices Towards Hybrid Musical Instrument Design,NIME,Julius,male,Matthew,male,Chris,male,John,male,Ge,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,1.0,0.9,0.99,0.68,,,,,,,,,,,,
"['Alice Eldridge', 'Chris Kiefer']",Alice,female,"Copenhagen, Denmark",2017,2,Self-resonating Feedback Cello: Interfacing gestural and generative processes in improvised performance,NIME,Chris,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.9,,,,,,,,,,,,,,,,
"['Don Derek Haddad', 'Xiao Xiao', 'Tod Machover', 'Joseph Paradiso']",Don,male,"Copenhagen, Denmark",2017,4,Fragile Instruments: Constructing Destructible Musical Interfaces,NIME,Xiao,female,Tod,male,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.56,0.95,0.99,,,,,,,,,,,,,,
"['Florian Heller', 'Irene Meying Cheung Ruiz', 'Jan Borchers']",Florian,male,"Copenhagen, Denmark",2017,3,An Augmented Flute for Beginners,NIME,Irene,female,Jan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.95,,,,,,,,,,,,,,,
"['Gabriella Isaac', 'Lauren Hayes', 'Todd Ingalls']",Gabriella,female,"Copenhagen, Denmark",2017,3,Cross-Modal Terrains: Navigating Sonic Space through Haptic Feedback,NIME,Lauren,female,Todd,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.9,0.99,,,,,,,,,,,,,,,
"['Jiayue Wu', 'Mark Rau', 'Yun Zhang', 'Yijun Zhou', 'Matt Wright']",Jiayue,female,"Copenhagen, Denmark",2017,5,Towards Robust Tracking with an Unreliable Motion Sensor Using Machine Learning,NIME,Mark,male,Yun,female,Yijun,male,Matt,male,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.99,0.52,0.55,0.99,,,,,,,,,,,,,
"['Álvaro Barbosa', 'Thomas Tsang']",Álvaro,male,"Copenhagen, Denmark",2017,2,Sounding Architecture: Inter-Disciplinary Studio at HKU,NIME,Thomas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"['Matus Lerner, Martín']",Martín,male,"Copenhagen, Denmark",2017,1,Osiris: a liquid based digital musical instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"['Spyridon Stasis', 'Jason Hockman', 'Ryan Stables']",Spyridon,male,"Copenhagen, Denmark",2017,3,Navigating Descriptive Sub-Representations of Musical Timbre,NIME,Jason,male,Ryan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,,,,,,,,,,,,,,,
"['Peter Williams', 'Daniel Overholt']",Peter,male,"Copenhagen, Denmark",2017,2,Pitch Fork: A Novel tactile Digital Musical Instrument,NIME,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Cagri Erdem', 'Anil Camci', 'Angus Forbes']",Cagri,male,"Copenhagen, Denmark",2017,3,Biostomp: A Biocontrol System for Embodied Performance Using Mechanomyography,NIME,Anil,male,Angus,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.97,0.89,,,,,,,,,,,,,,,
"['Esben W. Knudsen', 'Malte L. Hølledig', 'Mads Juel Nielsen', 'Rikke K. Petersen', 'Sebastian Bach-Nielsen', 'Bogdan-Constantin Zanescu', 'Daniel Overholt', 'Hendrik Purwins', 'Kim Helweg']",Esben,male,"Copenhagen, Denmark",2017,9,Audio-Visual Feedback for Self-monitoring Posture in Ballet Training,NIME,Malte,male,Mads,male,Rikke,female,Sebastian,male,Bogdan-Constantin,None,Daniel,male,Hendrik,male,Kim,female,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.95,0.99,0.0,0.99,0.99,0.56,,,,,,,,,
"['Rikard Lindell', 'Tomas Kumlin']",Rikard,male,"Copenhagen, Denmark",2017,2,"Augmented Embodied Performance – Extended Artistic Room, Enacted Teacher, and Humanisation of Technology",NIME,Tomas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
