AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Rolf Inge Godøy', ' Minho Song', ' Sofia Dahl']",Rolf,male,Finland,2017,3,Exploring Sound-Motion Textures in Drum Set Performance,ICMC,Minho,male,Sofia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Takeshi Hori', ' Kazuyuki Nakamura', ' Shigeki Sagayama']",Takeshi,male,Finland,2017,3,Jazz Piano Trio Synthesizing System Based on HMM and DNN,ICMC,Kazuyuki,male,Shigeki,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"['Bochen Li', ' Chenliang Xu', ' Zhiyao Duan']",Bochen,male,Finland,2017,3,Audio-Visual Source Association for String Ensembles through Multi-Modal Vibrato Analysis,ICMC,Chenliang,male,Zhiyao,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.75,,,,,,,,,,,,,,,
"['Sebastià V. Amengual Garí', ' Malte Kob', ' Tapio Lokki']",Sebastià,None,Finland,2017,3,Investigations on Stage Acoustic Preferences of Solo Trumpet Players using Virtual Acoustics,ICMC,Malte,male,Tapio,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.99,1.0,,,,,,,,,,,,,,,
['Victor Lazzarini'],Victor,male,Finland,2017,1,The design of a lightweight DSP programming library,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Luca Turchet', ' Carlo Fischione', ' Mathieu Barthet']",Luca,male,Finland,2017,3,Towards the internet of musical things,ICMC,Carlo,male,Mathieu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.99,0.99,,,,,,,,,,,,,,,
"['Dario Sanfilippo', ' Agostino Di Scipio']",Dario,male,Finland,2017,2,Environment-Mediated Coupling of Autonomous Sound-Generating Systems in Live Performance: An Overview of the Machine Milieu Project,ICMC,Agostino,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Oliver Hödl', ' Geraldine Fitzpatrick', ' Fares Kayali', ' Simon Holland']",Oliver,male,Finland,2017,4,Design Implications for Technology-Mediated Audience Participation in Live Music,ICMC,Geraldine,female,Fares,male,Simon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.97,0.98,,,,,,,,,,,,,,
"['Hirofumi Takamori', ' Haruki Sato', ' Takayuki Nakatsuka', ' Shigeo Morishima']",Hirofumi,male,Finland,2017,4,Automatic Arranging Musical Score for Piano using Important Musical Elements,ICMC,Haruki,male,Takayuki,male,Shigeo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.97,1.0,1.0,,,,,,,,,,,,,,
"['Leo McCormack', ' Vesa Välimäki']",Leo,male,Finland,2017,2,FFT-based Dynamic Range Compression,ICMC,Vesa,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.86,,,,,,,,,,,,,,,,
"['Hanns Holger Rutz', ' Robert Höldrich']",Hanns,male,Finland,2017,2,A Sonification Interface Unifying Real-Time and Offline Processing,ICMC,Robert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Manuel Brásio', ' Filipe Lopes', ' Gilberto Bernardes', ' Rui Penha']",Manuel,male,Finland,2017,4,QUALIA: A Software for Guided Meta-Improvisation Performance,ICMC,Filipe,male,Gilberto,male,Rui,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.98,,,,,,,,,,,,,,
"['Eduardo Micheloni', ' Marcella Mandanici', ' Antonio Rodà', ' Sergio Canazza']",Eduardo,male,Finland,2017,4,Interactive Painting Sonification Using a Sensor-Equipped Runway,ICMC,Marcella,female,Antonio,male,Sergio,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,0.99,,,,,,,,,,,,,,
"['Matteo Lionello', ' Marcella Mandanici', ' Sergio Canazza', ' Edoardo Micheloni']",Matteo,male,Finland,2017,4,Interactive Soundscapes: Developing a Physical Space Augmented through Dynamic Sound Rendering and Granular Synthesis,ICMC,Marcella,female,Sergio,male,Edoardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,0.99,,,,,,,,,,,,,,
"['Anne-Marie Burns', ' Sébastien Bel', ' Caroline Traube']",Anne-Marie,female,Finland,2017,3,Learning to Play the Guitar at the Age of Interactive and Collaborative Web Technologies,ICMC,Sébastien,male,Caroline,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,0.98,,,,,,,,,,,,,,,
"['Pierre Beauguitte', ' Bryan Duggan', ' John D. Kelleher']",Pierre,male,Finland,2017,3,Key Inference from Irish Traditional Music Scores and Recordings,ICMC,Bryan,male,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
['Jeffrey M. Morris'],Jeffrey,male,Finland,2017,1,Ferin Martino’s Tour: Lessons from Adapting the Same Algorithmic Art Installation to Different Venues and Platforms,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Tejaswinee Kelkar', ' Alexander Refsum Jensenius']",Tejaswinee,female,Finland,2017,2,Exploring Melody and Motion Features in “Sound-Tracings”,ICMC,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
['Ryan Kirkbride'],Ryan,male,Finland,2017,1,Troop: A Collaborative Tool for Live Coding,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Yusuke Wada', ' Yoshiaki Bando', ' Eita Nakamura', ' Katsutoshi Itoyama', ' Kazuyoshi Yoshii']",Yusuke,male,Finland,2017,5,An Adaptive Karaoke System that Plays Accompaniment Parts of Music Audio Signals Synchronously with Users' Singing Voices,ICMC,Yoshiaki,male,Eita,male,Katsutoshi,male,Kazuyoshi,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.73,1.0,1.0,,,,,,,,,,,,,
"['Jose J. Valero-Mas', ' José M. Iñesta']",Jose,male,Finland,2017,2,Experimental Assessment of Descriptive Statistics and Adaptive Methodologies for Threshold Establishment in Onset Selection Functions,ICMC,José,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.97,,,,,,,,,,,,,,,,
"['Raul Masu', ' Andrea Conci', ' Cristina Core', ' Antonella de Angeli', ' Fabio Morreale']",Raul,male,Finland,2017,5,Robinflock: a Polyphonic Algorithmic Composer for Interactive Scenarios with Children,ICMC,Andrea,male,Cristina,female,Antonella,female,Fabio,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.62,0.99,0.99,0.99,,,,,,,,,,,,,
['Philippe Kocher'],Philippe,male,Finland,2017,1,Technology-Assisted Performance of Polytemporal Music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Peter Lennox', ' Ian McKenzie']",Peter,male,Finland,2017,2,Investigating Spatial Music Qualia through Tissue Conduction,ICMC,Ian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Charles P. Martin', ' Jim Torresen']",Charles,male,Finland,2017,2,Exploring Social Mobile Music with Tiny Touch-Screen Performances,ICMC,Jim,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Peter Ahrendt', ' Christian C. Bach', ' Sofia Dahl']",Peter,male,Finland,2017,3,Does Singing a Low-Pitch Tone Make You Look Angrier?,ICMC,Christian,male,Sofia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Juan Carlos Vasquez', ' Koray Tahiroğlu', ' Niklas Pöllönen', ' Johan Kildal', ' Teemu Ahmaniemi']",Juan,male,Finland,2017,5,Monitoring and Supporting Engagement in Skilled Tasks: From Creative Musical Activity to Psychological Wellbeing,ICMC,Koray,male,Niklas,male,Johan,male,Teemu,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.97,1.0,0.99,1.0,,,,,,,,,,,,,
"['Alexander Refsum Jensenius', ' Agata Zelechowska', ' Victor Gonzalez Sanchez']",Alexander,male,Finland,2017,3,The Musical Influence on People's Micromotion when Standing Still in Groups,ICMC,Agata,female,Victor,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,,,,,,,,,,,,,,,
"['Zhiyan Duan', ' Chitralekha Gupta', ' Graham Percival', ' David Grunberg and Ye Wang']",Zhiyan,female,Finland,2017,4,SECCIMA: Singing and Ear Training for Children with Cochlear Implants via a Mobile Application,ICMC,Chitralekha,female,Graham,male,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.0,0.99,0.99,,,,,,,,,,,,,,
"['Miroslav Malik', ' Sharath Adavanne', ' Konstantinos Drossos', ' Tuomas Virtanen', ' Dasa Ticha', ' Roman Jarina']",Miroslav,male,Finland,2017,6,Stacked Convolutional and Recurrent Neural Networks for Music Emotion Recognition,ICMC,Sharath,male,Konstantinos,male,Tuomas,male,Dasa,female,Roman,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.9,0.98,,,,,,,,,,,,
"['Kristian Nymoen', ' Anne Danielsen', ' Justin London']",Kristian,male,Finland,2017,3,Validating Attach Phase Descriptors Obtained by the Timbre Toolbox and MIRtoolbox,ICMC,Anne,female,Justin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.98,,,,,,,,,,,,,,,
"['Jongpil Lee', ' Jiyoung Park', ' Keunhyoung Luke Kim', ' Juhan Nam']",Jongpil,male,Finland,2017,4,Sample-Level Deep Convolutional Neural Networks for Music Auto-Tagging Using Raw Waveforms,ICMC,Jiyoung,female,Keunhyoung,male,Juhan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.93,0.67,0.97,,,,,,,,,,,,,,
