AllAuthors;FirstName1stAuthor;Gender;Place;Year;NumberOfAuthors;Title;Conference;FirstName2ndAuthor;Gender2;FirstName3rdAuthor;Gender3;FirstName4thAuthor;Gender4;FirstName5thAuthor;Gender5;FirstName6thAuthor;Gender6;FirstName7thAuthor;Gender7;FirstName8thAuthor;Gender8;FirstName9thAuthor;Gender9;FirstName10thAuthor;Gender10;FirstName11thAuthor;Gender11;FirstName12thAuthor;Gender12;FirstName13thAuthor;Gender13;FirstName14thAuthor;Gender14;FirstName15thAuthor;Gender15;FirstName16thAuthor;Gender16;FirstName17thAuthor;Gender17;Probability1;Probability2;Probability3;Probability4;Probability5;Probability6;Probability7;Probability8;Probability9;Probability10;Probability11;Probability12;Probability13;Probability14;Probability15;Probability16;Probability17;
['Aitor Arronte Alvarez '];Aitor;male;USA;2019;1;AN ATTENTIONAL NEURAL NETWORK ARCHITECTURE FOR FOLK SONG CLASSIFICATION;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Anders Bach Pedersen', 'Johan Lau Munkholm '];Anders;male;USA;2019;2;CLIMATE CATASTROPHE AS ENVIRONMENTAL MUSIC: THE ARAL SEA ;ICMC;Johan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Andrea Agostini', 'Jean-Louis Giavitto '];Andrea;male;USA;2019;2;BELL, A TEXTUAL LANGUAGE FOR THE BACH LIBRARY ;ICMC;Jean-Louis;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62;0.99;;;;;;;;;;;;;;;;
['Andreas Pirchner '];Andreas;male;USA;2019;1;IRMA (INTERACTIVE REAL-TIME MEASUREMENT OF ATTENTION). A NEW METHOD INVESTIGATING PERFORMANCES OF AUDIOVISUAL COMPUTER MUSIC;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Angelo Bello '];Angelo;male;USA;2019;1;NOTES ON DYNAMIC STOCHASTIC SYNTHESIS AND THE NEW GENDYN PROGRAM ;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Artemi-Maria Gioti '];Artemi-Maria;female;USA;2019;1;IMITATION GAME: REAL-TIME DECISION-MAKING IN AN INTERACTIVE COMPOSITION FOR HUMAN AND ROBOTIC PERCUSSIONIST;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;
['Christian Baumann', 'Johanna Friederike Baarlink', 'Jan-Torsten Milde '];Christian;male;USA;2019;3;BODY MOVEMENT SONIFICATION: ENHANCING PHYSIO THERAPY;ICMC;Johanna;female;Jan-Torsten;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.97;0.0;;;;;;;;;;;;;;;
['Connor Kirts', 'Seth Shafer', 'Jeremy C. Baguyos '];Connor;male;USA;2019;3;SOUNDTRACK+: MEASURING, PREDICTING, AND APPLYING AFFECT OF MULTICHANNEL PATTERNS INTO COMPOSITION;ICMC;Seth;male;Jeremy;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.99;;;;;;;;;;;;;;;
['Cristyn Magnus', 'Stephanie Loveless '];Cristyn;female;USA;2019;2;LISTENING HERE: A MOBILE WEB APP FOR SONIC EXPLORATION ;ICMC;Stephanie;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.92;0.98;;;;;;;;;;;;;;;;
['Daniel K Höpfner', 'Michele Samarotto '];Daniel;male;USA;2019;2;A PERFORMANCE SETUP FOR COLLABORATIVE AUDIO-VISUAL LIVE CODING BASED ON  A GRAPHICAL APPROACH TO DYNAMIC WAVE TERRAIN SYNTHESIS;ICMC;Michele;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.86;;;;;;;;;;;;;;;;
