AllAuthors;FirstName1stAuthor;Gender;Place;Year;NumberOfAuthors;Title;Conference;FirstName2ndAuthor;Gender2;FirstName3rdAuthor;Gender3;FirstName4thAuthor;Gender4;FirstName5thAuthor;Gender5;FirstName6thAuthor;Gender6;FirstName7thAuthor;Gender7;FirstName8thAuthor;Gender8;FirstName9thAuthor;Gender9;FirstName10thAuthor;Gender10;FirstName11thAuthor;Gender11;FirstName12thAuthor;Gender12;FirstName13thAuthor;Gender13;FirstName14thAuthor;Gender14;FirstName15thAuthor;Gender15;FirstName16thAuthor;Gender16;FirstName17thAuthor;Gender17;Probability1;Probability2;Probability3;Probability4;Probability5;Probability6;Probability7;Probability8;Probability9;Probability10;Probability11;Probability12;Probability13;Probability14;Probability15;Probability16;Probability17
['Torsten Anders'];Torsten;male;Finland;2017;1;A Constraint-Based Framework to Model Harmony for Music Composition;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;
['Yuta Ojima', ' Tomoyasu Nakano', ' Satoru Fukayama', ' Jun Kato', ' Masataka Goto', ' Katsutoshi Itoyama', ' Kazuyoshi Yoshii'];Yuta;male;Finland;2017;7;A Singing Instrument for Real-Time Vocal-Part Arrangement of Music and Audio Signals;SMC;Tomoyasu;male;Satoru;male;Jun;male;Masataka;male;Katsutoshi;male;Kazuyoshi;male;;;;;;;;;;;;;;;;;;;;;0.98;1.0;0.99;0.9;1.0;1.0;1.0;;;;;;;;;;
['Hanns Holger Rutz', ' Robert Höldrich'];Hanns;male;Finland;2017;2;A Sonification Interface Unifying Real-Time and Offline Processing;SMC;Robert;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;
['Yusuke Wada', ' Yoshiaki Bando', ' Eita Nakamura', ' Katsutoshi Itoyama', ' Kazuyoshi Yoshii'];Yusuke;male;Finland;2017;5;An Adaptive Karaoke System that Plays Accompaniment Parts of Music Audio Signals Synchronously with Users' Singing Voices;SMC;Yoshiaki;male;Eita;male;Katsutoshi;male;Kazuyoshi;male;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;0.73;1.0;1.0;;;;;;;;;;;;
['Emma Frid', ' Roberto Bresin', ' Eva-Lotta Sallnäs Pysander', ' Jonas Moll'];Emma;female;Finland;2017;4;An Exploratory Study on the Effect of Auditory Feedback on Gaze Behavior in a Virtual Throwing Task with and without Haptic Feedback;SMC;Roberto;male;Eva-Lotta;female;Jonas;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.93;0.99;1.0;0.99;;;;;;;;;;;;;
['Taegyun Kwon', ' Dasaem Jeong', ' Juhan Nam'];Taegyun;male;Finland;2017;3;Audio-to-Score Alignment of Piano Music Using RNN-Based Automatic Music Transcription;SMC;Dasaem;female;Juhan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;0.97;;;;;;;;;;;;;;
['Bochen Li', ' Chenliang Xu', ' Zhiyao Duan'];Bochen;male;Finland;2017;3;Audio-Visual Source Association for String Ensembles through Multi-Modal Vibrato Analysis;SMC;Chenliang;male;Zhiyao;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;0.75;;;;;;;;;;;;;;
['Federico Fontana', ' Debora Scappin', ' Federico Avanzini', ' Mattia Bernardi', ' Devid Bianco', ' Giorgio Klauer'];Federico;male;Finland;2017;6;Auditory, Visual and Somatosensory Localization of Piano Tones: a Preliminary Study;SMC;Debora;female;Federico;male;Mattia;male;Devid;male;Giorgio;male;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;0.98;0.99;0.99;;;;;;;;;;;
['Felipe Orduña-Bustamante'];Felipe;male;Finland;2017;1;Auralization in Space and in Rooms of Arbitrary D Dimensions;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;
['Hirofumi Takamori', ' Haruki Sato', ' Takayuki Nakatsuka', ' Shigeo Morishima'];Hirofumi;male;Finland;2017;4;Automatic Arranging Musical Score for Piano using Important Musical Elements;SMC;Haruki;male;Takayuki;male;Shigeo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.97;1.0;1.0;;;;;;;;;;;;;
['Mitsuyo Hashida', ' Eita Nakamura', ' Haruhiro Katayose'];Mitsuyo;female;Finland;2017;3;Constructing PEDB 2nd Edition: A Music Performance Database with Phrase Information;SMC;Eita;male;Haruhiro;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.73;1.0;;;;;;;;;;;;;;
['Oliver Hödl', ' Geraldine Fitzpatrick', ' Fares Kayali', ' Simon Holland'];Oliver;male;Finland;2017;4;Design Implications for Technology-Mediated Audience Participation in Live Music;SMC;Geraldine;female;Fares;male;Simon;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.97;0.98;;;;;;;;;;;;;
['Peter Ahrendt', ' Christian C. Bach', ' Sofia Dahl'];Peter;male;Finland;2017;3;Does Singing a Low-Pitch Tone Make You Look Angrier?;SMC;Christian;male;Sofia;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.98;;;;;;;;;;;;;;
['Simone Pappalardo', ' Andrea Valle'];Simone;male;Finland;2017;2;Electric Grammars. Algorithmic Design and Construction of Experimental Music Circuits;SMC;Andrea;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.75;0.62;;;;;;;;;;;;;;;
['Robert Albrecht', ' Jussi Jaatinen', ' Tapio Lokki'];Robert;male;Finland;2017;3;Electronic Hearing Protection for Musicians;SMC;Jussi;male;Tapio;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.97;1.0;;;;;;;;;;;;;;
['Dario Sanfilippo', ' Agostino Di Scipio'];Dario;male;Finland;2017;2;Environment-Mediated Coupling of Autonomous Sound-Generating Systems in Live Performance: An Overview of the Machine Milieu Project;SMC;Agostino;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Marian Weger', ' David Pirrò', ' Robert Höldrich'];Marian;male;Finland;2017;3;Evaluation of an Acoustic Interface for Tremor Analysis;SMC;David;male;Robert;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62;0.99;0.99;;;;;;;;;;;;;;
['Jennifer MacRitchie', ' Andrew J. Milne'];Jennifer;female;Finland;2017;2;Evaluation of the Learnability and Playability of Pitch Layouts in New Musical Instruments;SMC;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;
['Jose J. Valero-Mas', ' José M. Iñesta'];Jose;male;Finland;2017;2;Experimental Assessment of Descriptive Statistics and Adaptive Methodologies for Threshold Establishment in Onset Selection Functions;SMC;José;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.97;;;;;;;;;;;;;;;
['Johnty Wang', ' Robert Pritchard', ' Bryn Nixon', ' Marcelo M. Wanderley'];Johnty;male;Finland;2017;4;Explorations with Digital Control of MIDI-enabled Pipe Organs;SMC;Robert;male;Bryn;male;Marcelo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;0.96;0.99;;;;;;;;;;;;;
['Tejaswinee Kelkar', ' Alexander Refsum Jensenius'];Tejaswinee;female;Finland;2017;2;Exploring Melody and Motion Features in “Sound-Tracings”;SMC;Alexander;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.99;;;;;;;;;;;;;;;
['Charles P. Martin', ' Jim Torresen'];Charles;male;Finland;2017;2;Exploring Social Mobile Music with Tiny Touch-Screen Performances;SMC;Jim;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;;;;;;;;;;;;;;;
['Rolf Inge Godøy', ' Minho Song', ' Sofia Dahl'];Rolf;male;Finland;2017;3;Exploring Sound-Motion Textures in Drum Set Performance;SMC;Minho;male;Sofia;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.98;;;;;;;;;;;;;;
['Jonas Holfelt', ' Gergely Csapo', ' Nikolaj Andersson', ' Sohejl Zabetian', ' Michael Castanieto', ' Daniel Overholt', ' Sofia Dahl', ' Cumhur Erkut'];Jonas;male;Finland;2017;8;Extraction, Mapping, and Evaluation of Expressive Acoustic Features for Adaptive Digital Audio Effects;SMC;Gergely;male;Nikolaj;male;Sohejl;male;Michael;male;Daniel;male;Sofia;female;Cumhur;male;;;;;;;;;;;;;;;;;;;0.99;0.96;0.99;1.0;0.99;0.99;0.98;0.97;;;;;;;;;
['Jeffrey M. Morris'];Jeffrey;male;Finland;2017;1;Ferin Martino’s Tour: Lessons from Adapting the Same Algorithmic Art Installation to Different Venues and Platforms;SMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
['Leo McCormack', ' Vesa Välimäki'];Leo;male;Finland;2017;2;FFT-based Dynamic Range Compression;SMC;Vesa;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.94;0.86;;;;;;;;;;;;;;;
['Marius Miron', ' Jordi Janer', ' Emilia Gómez'];Marius;male;Finland;2017;3;Generating Data to Train Convolutional Neural Networks for Classical Music Source Separation;SMC;Jordi;male;Emilia;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.98;;;;;;;;;;;;;;
['Ken Déguernel', ' Jérôme Nika', ' Emmanuel Vincent', ' Gérard Assayag'];Ken;male;Finland;2017;4;Generating Equivalent Chord Progressions to Enrich Guided Improvisation: Application to Rhythm Changes;SMC;Jérôme;male;Emmanuel;male;Gérard;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;1.0;0.99;1.0;;;;;;;;;;;;;
['Eduardo Micheloni', ' Marcella Mandanici', ' Antonio Rodà', ' Sergio Canazza'];Eduardo;male;Finland;2017;4;Interactive Painting Sonification Using a Sensor-Equipped Runway;SMC;Marcella;female;Antonio;male;Sergio;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.99;0.99;;;;;;;;;;;;;
['Matteo Lionello', ' Marcella Mandanici', ' Sergio Canazza', ' Edoardo Micheloni'];Matteo;male;Finland;2017;4;Interactive Soundscapes: Developing a Physical Space Augmented through Dynamic Sound Rendering and Granular Synthesis;SMC;Marcella;female;Sergio;male;Edoardo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.99;0.99;;;;;;;;;;;;;
['Peter Lennox', ' Ian McKenzie'];Peter;male;Finland;2017;2;Investigating Spatial Music Qualia through Tissue Conduction;SMC;Ian;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Sebastià V. Amengual Garí', ' Malte Kob', ' Tapio Lokki'];Sebastià;male;Finland;2017;3;Investigations on Stage Acoustic Preferences of Solo Trumpet Players using Virtual Acoustics;SMC;Malte;male;Tapio;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.99;1.0;;;;;;;;;;;;;;
['Takeshi Hori', ' Kazuyuki Nakamura', ' Shigeki Sagayama'];Takeshi;male;Finland;2017;3;Jazz Piano Trio Synthesizing System Based on HMM and DNN;SMC;Kazuyuki;male;Shigeki;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;
['Pierre Beauguitte', ' Bryan Duggan', ' John D. Kelleher'];Pierre;male;Finland;2017;3;Key Inference from Irish Traditional Music Scores and Recordings;SMC;Bryan;male;John;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;;;;;;;;;;;;;;
['Anne-Marie Burns', ' Sébastien Bel', ' Caroline Traube'];Anne-Marie;female;Finland;2017;3;Learning to Play the Guitar at the Age of Interactive and Collaborative Web Technologies;SMC;Sébastien;male;Caroline;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;1.0;0.98;;;;;;;;;;;;;;
['Léopold Crestel', ' Philippe Esling'];Léopold;male;Finland;2017;2;Live Orchestral Piano, a System for Real-Time Orchestral Music Generation;SMC;Philippe;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.99;;;;;;;;;;;;;;;
['Gen Hori', ' Shigeki Sagayama'];Gen;male;Finland;2017;2;Lp-Viterbi Algorithm for Automatic Fingering Decision;SMC;Shigeki;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;1.0;;;;;;;;;;;;;;;
['Andrew McLeod', ' Mark Steedman'];Andrew;male;Finland;2017;2;Meter Detection in Symbolic Music Using a Lexicalized PCFG;SMC;Mark;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Juan Carlos Vasquez', ' Koray Tahiroğlu', ' Niklas Pöllönen', ' Johan Kildal', ' Teemu Ahmaniemi'];Juan;male;Finland;2017;5;Monitoring and Supporting Engagement in Skilled Tasks: From Creative Musical Activity to Psychological Wellbeing;SMC;Koray;male;Niklas;male;Johan;male;Teemu;male;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.97;1.0;0.99;1.0;;;;;;;;;;;;
['Daniel Bisig', ' Philippe Kocher'];Daniel;male;Finland;2017;2;Musical Approaches for Working with Time-Delayed Feedback Networks;SMC;Philippe;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;
['Martin Hartmann', ' Olivier Lartillot', ' Petri Toiviainen'];Martin;male;Finland;2017;3;Musical Feature and Novelty Curve Characterizations as Predictors of Segmentation Accuracy;SMC;Olivier;male;Petri;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.84;;;;;;;;;;;;;;
['Gleb Rogozinsky', ' Mihail Chesnokov', ' Eugene Cherny'];Gleb;male;Finland;2017;3;pch2csd: an Application for Converting Nord Modular G2 Patches into Csound Code;SMC;Mihail;male;Eugene;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.95;;;;;;;;;;;;;;
['Manuel Brásio', ' Filipe Lopes', ' Gilberto Bernardes', ' Rui Penha'];Manuel;male;Finland;2017;4;QUALIA: A Software for Guided Meta-Improvisation Performance;SMC;Filipe;male;Gilberto;male;Rui;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;0.98;;;;;;;;;;;;;
['Rod Selfridge', ' David Moffat', ' Joshua D. Reiss'];Rod;male;Finland;2017;3;Real-Time Physical Model for Synthesis of Sword Sounds;SMC;David;male;Joshua;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.99;0.99;;;;;;;;;;;;;;
['Liang Chen', ' Christopher Raphael'];Liang;male;Finland;2017;2;Renotation of Optical Music Recognition Data;SMC;Christopher;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.79;0.99;;;;;;;;;;;;;;;
