Gender1F,Gender1M,Place,Year,NumberOfAuthors,Conference,Gender2F,Gender2M,Gender3F,Gender3M,Gender4F,Gender4M,Gender5F,Gender5M,Gender6F,Gender6M,Gender7F,Gender7M,Gender8F,Gender8M,Gender9F,Gender9M,Gender10F,Gender10M,Gender11F,Gender11M,Gender12F,Gender12M,Gender13F,Gender13M,Gender14F,Gender14M,Gender15F,Gender15M,Gender16F,Gender16M,Gender17F,Gender17M,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,Title
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Robert Van Rooyen' 'Andrew Schloss' 'George Tzanetakis'],Voice Coil Actuators for Percussion Robotics
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maurin Donneaud' 'Cedric Honnet' 'Paul Strohmeier'],Designing a Multi-Touch eTextile for Music Performances
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Peter Williams' 'Daniel Overholt'],bEADS Extended Actuated Digital Shaker
0,1,Copenhagen  Denmark,2017,6,NIME,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Romain Michon' 'Julius O. Smith' 'Matthew Wright' 'Chris Chafe' 'John Granzow' 'Ge Wang'],Passively Augmenting Mobile Devices Towards Hybrid Musical Instrument Design
1,0,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alice Eldridge' 'Chris Kiefer'],Self-resonating Feedback Cello: Interfacing gestural and generative processes in improvised performance
0,1,Copenhagen  Denmark,2017,4,NIME,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Don Derek Haddad' 'Xiao Xiao' 'Tod Machover' 'Joseph Paradiso'],Fragile Instruments: Constructing Destructible Musical Interfaces
0,1,Copenhagen  Denmark,2017,3,NIME,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Florian Heller' 'Irene Meying Cheung Ruiz' 'Jan Borchers'],An Augmented Flute for Beginners
1,0,Copenhagen  Denmark,2017,3,NIME,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Gabriella Isaac' 'Lauren Hayes' 'Todd Ingalls'],Cross-Modal Terrains: Navigating Sonic Space through Haptic Feedback
1,0,Copenhagen  Denmark,2017,5,NIME,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jiayue Wu' 'Mark Rau' 'Yun Zhang' 'Yijun Zhou' 'Matt Wright'],Towards Robust Tracking with an Unreliable Motion Sensor Using Machine Learning
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Álvaro Barbosa' 'Thomas Tsang'],Sounding Architecture: Inter-Disciplinary Studio at HKU
