Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male,Female,Unknown
2001,25,2,0,27,0.9259259259259259,0.07407407407407407,0.0
2002,80,15,4,99,0.8080808080808081,0.15151515151515152,0.04040404040404041
2003,80,16,1,97,0.8247422680412371,0.16494845360824742,0.010309278350515464
2004,97,20,1,118,0.8220338983050848,0.1694915254237288,0.00847457627118644
2005,151,13,2,166,0.9096385542168675,0.0783132530120482,0.012048192771084338
2006,168,22,4,194,0.865979381443299,0.1134020618556701,0.020618556701030927
2007,207,36,6,249,0.8313253012048193,0.14457831325301204,0.024096385542168676
2008,168,29,1,198,0.8484848484848485,0.14646464646464646,0.005050505050505051
2009,210,28,4,242,0.8677685950413223,0.11570247933884298,0.01652892561983471
2010,255,34,8,297,0.8585858585858586,0.11447811447811448,0.026936026936026935
2011,292,33,9,334,0.874251497005988,0.09880239520958084,0.02694610778443114
2012,301,35,6,342,0.8801169590643275,0.1023391812865497,0.017543859649122806
2013,233,35,16,284,0.8204225352112676,0.12323943661971831,0.056338028169014086
2014,345,40,6,391,0.8823529411764706,0.10230179028132992,0.015345268542199489
2015,250,25,1,276,0.9057971014492754,0.09057971014492754,0.0036231884057971015
2016,211,43,2,256,0.82421875,0.16796875,0.0078125
TotCount,3073,426,71,3570
Tot%,0.8607843137254902,0.11932773109243698,0.019887955182072828,1.0
TotArticles,1458
NamesLowProb,200
