Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male,Female,Unknown
2004,93,9,1,103,0.9029126213592233,0.08737864077669903,0.009708737864077669
2005,66,15,0,81,0.8148148148148148,0.18518518518518517,0.0
2006,43,9,0,52,0.8269230769230769,0.17307692307692307,0.0
2007,112,20,1,133,0.8421052631578947,0.15037593984962405,0.007518796992481203
2008,61,7,7,75,0.8133333333333334,0.09333333333333334,0.09333333333333334
2009,150,11,1,162,0.9259259259259259,0.06790123456790123,0.006172839506172839
2010,175,17,3,195,0.8974358974358975,0.08717948717948718,0.015384615384615385
2011,180,31,1,212,0.8490566037735849,0.14622641509433962,0.0047169811320754715
2012,160,22,0,182,0.8791208791208791,0.12087912087912088,0.0
2013,277,38,3,318,0.8710691823899371,0.11949685534591195,0.009433962264150943
2014,598,83,4,685,0.872992700729927,0.12116788321167883,0.00583941605839416
2015,208,26,5,239,0.8702928870292888,0.1087866108786611,0.02092050209205021
2016,195,29,7,231,0.8441558441558441,0.12554112554112554,0.030303030303030304
TotCount,2318,317,33,2668
Tot%,0.868815592203898,0.11881559220389805,0.012368815592203899,1.0
TotArticles,1036
NamesLowProb,158
