Qiao,female,0.67,An Online Interactive Course on Computer Music,"['Dannenberg, Roger B.', ' Stiles, Jesse', ' Li, Yuezhang', ' Zhang, Qiao']"
Rama,male,0.61,Dynamic Message-Oriented Middleware with Open Sound Control and Odot,"['MacCallum, John', ' Gottfried, Rama', ' Rostovtsev, Ilya', ' Bresson, Jean', ' Freed, Adrian']"
Jean,female,0.53,Dynamic Message-Oriented Middleware with Open Sound Control and Odot,"['MacCallum, John', ' Gottfried, Rama', ' Rostovtsev, Ilya', ' Bresson, Jean', ' Freed, Adrian']"
Red,male,0.67,Brooklyn College Center for Computer Music,"['Geers, Douglas', ' R. Nelson, Nicholas', ' Wierenga, Red']"
Tae,male,0.57,Studio Report 2015: New York University (NYU) Music Technology Program,"['You, Jaesong', ' Telichan, Andrew', ' Musick, Michael', ' Hong Park, Tae']"
Tae,male,0.57,Developing a Socio-Historical Model for Electro-Acoustic Music Analysis: The Challenge from an Adornian Perspective,"['You, Jaeseong', ' Telichan, Andrew', ' Hong Park, Tae']"
Andrea,female,0.79,Automatic Transcription of Japanese Taiko Drumming Using the Microsoft Kinect,"['Hua, Willian', ' Salgian, Andrea']"
Jae,male,0.58,Physical Modeling Synthesis of the Stone Chime Instrument “Pyeongyeong”,"['Ahn, Jae hyun', ' Dudas, Richard']"
Lee,male,0.75,Binaural Navigation for the Visually Impaired with a Smartphone,"['Tae Hoon, Lee', ' Reddy Vuyyuru, Manish', ' Kumar, Ananda T.', ' Lui, Simon']"
Ananda,female,0.76,Binaural Navigation for the Visually Impaired with a Smartphone,"['Tae Hoon, Lee', ' Reddy Vuyyuru, Manish', ' Kumar, Ananda T.', ' Lui, Simon']"
Mo,male,0.64,Rasping Music: Remodeling Early Minimalist Music through Mechatronic Sound-Sculpture,"['Zareei, Mo H.', ' Kapur, Ajay', ' Carnegie, Dale A.']"
Yi,female,0.56,Mirror Mind: New Possibilities for Overall Interactive Design in New Music-Media Theatre,"['Qin, Yi', ' Fang, Da-Lei', ' Xu, Zhi-Bo', ' Da, Yan']"
Yan,male,0.51,Mirror Mind: New Possibilities for Overall Interactive Design in New Music-Media Theatre,"['Qin, Yi', ' Fang, Da-Lei', ' Xu, Zhi-Bo', ' Da, Yan']"
Nicola,female,0.71,RCCM Canons: Not Only a Problem of Cage,"['Francesca Battista, Alba', ' Maximiliano Mollo, Carlos', ' Monopoli, Nicola']"
Tae,male,0.57,Timbral Hauntings: An Interactive System Re-Interpreting the Present in Echoes of the Past,"['Musick, Michael', ' Park, Tae Hong']"
Alexis,male,0.52,Towards Defining the Potential of Electroacoustic Infrasonic Music,"['Story Crawshaw, Alexis']"
Andrea,female,0.79,cage: a high-level library for real-time computer-aided composition,"['Agostini, Andrea', ' Daubresse, \xc3\x89ric', ' Ghisi, Daniele']"
Flo,male,0.59,Modelling the live-electronics in electroacoustic music using particle systems,"['Perrotta, Andr\xc3\xa9 V.', ' Menezes, Flo', ' Martins, Luis Gustavo']"
Nicola,female,0.71,"Musical perspectives on composition, sonification and performace","['de G\xc3\xb6tzen, Amalia', ' Bernardini, Nicola', ' Vidolin, Alvise']"
Jean,female,0.53,pOM: Linking Pen Gestures to Computer-Aided Composition Processes,"['Garcia, J\xc3\xa9r\xc3\xa9mie', ' Leroux, Philippe', ' Bresson, Jean']"
Ge,male,0.61,Principles of Visual Design for Computer Music,"['Wang, Ge']"
Tae,male,0.57,Citygram One: One Year Later …,"['Park, Tae Hong', ' Musick, Michael', ' Turner, John', ' Mydlarz, Charlie', ' Lee, Jun Hee', ' You, Jaeseong', ' DuBois, Luke']"
Charlie,male,0.79,Citygram One: One Year Later …,"['Park, Tae Hong', ' Musick, Michael', ' Turner, John', ' Mydlarz, Charlie', ' Lee, Jun Hee', ' You, Jaeseong', ' DuBois, Luke']"
