Yuezhang,An Online Interactive Course on Computer Music,"['Dannenberg, Roger B.', ' Stiles, Jesse', ' Li, Yuezhang', ' Zhang, Qiao']"
Vanissa,Audio Collage as an Instrument for Musical Expression: Combining Freehand and Tangible Controllers,"['Law, Vanissa', ' Paine, Garth']"
Chuck-jee,The Effects of Early-Release on Emotion Characteristics and Timbre in Non-Sustaining Musical Instrument Tones,"['Chau, Chuck-jee', ' Wu, Bin', ' Horner, Andrew']"
Jaesong,Studio Report 2015: New York University (NYU) Music Technology Program,"['You, Jaesong', ' Telichan, Andrew', ' Musick, Michael', ' Hong Park, Tae']"
McGregor,Peabody Computer Music: 46 Years of Looking to the Future,"['Wright,  Geoffrey', ' Boyle,  McGregor', ' Armenta, Joshua', ' Woodward, Ryan', ' Xia, Sunhuimei']"
Sunhuimei,Peabody Computer Music: 46 Years of Looking to the Future,"['Wright,  Geoffrey', ' Boyle,  McGregor', ' Armenta, Joshua', ' Woodward, Ryan', ' Xia, Sunhuimei']"
Jaeseong,Developing a Socio-Historical Model for Electro-Acoustic Music Analysis: The Challenge from an Adornian Perspective,"['You, Jaeseong', ' Telichan, Andrew', ' Hong Park, Tae']"
Kyungho,Exploratory Analysis on Expressions in Two Different 4/4 Beat Patterns,"['Lee, Kyungho', ' J. Junokas, Michael', ' Amanzadeh, Mohammad', ' E. Garnett, Guy']"
Dekai,Neural Versus Symbolic Rap Battle Bots,"['Wu, Dekai', ' Addanki, Karteek']"
Genki,iSuperColliderKit: A Toolkit for iOS Using an Internal SuperCollider Server as a Sound Engine,"['Ito, Akinori', ' Watanabe, Kengo', ' Kuroda, Genki', ' Ito, Ken\xe2\x80\x99ichiro']"
Ken’ichiro,iSuperColliderKit: A Toolkit for iOS Using an Internal SuperCollider Server as a Sound Engine,"['Ito, Akinori', ' Watanabe, Kengo', ' Kuroda, Genki', ' Ito, Ken\xe2\x80\x99ichiro']"
Chuck-jee,The Effects of Pitch and Dynamics on the Emotional Characteristics of Piano Sounds,"['Chau, Chuck-jee', ' Horner, Andrew']"
Da-Lei,Mirror Mind: New Possibilities for Overall Interactive Design in New Music-Media Theatre,"['Qin, Yi', ' Fang, Da-Lei', ' Xu, Zhi-Bo', ' Da, Yan']"
Zhi-Bo,Mirror Mind: New Possibilities for Overall Interactive Design in New Music-Media Theatre,"['Qin, Yi', ' Fang, Da-Lei', ' Xu, Zhi-Bo', ' Da, Yan']"
Francho,Computer Game Piece: Exploring Video Games as Means for Controlled Improvisation,"['Jackowski, Dariusz', ' Melendez, Francho', ' Bauer, Andrzej', ' Hendrich, Pawe\xc5\x82', ' Duchnowski, Cezary']"
Éric,cage: a high-level library for real-time computer-aided composition,"['Agostini, Andrea', ' Daubresse, \xc3\x89ric', ' Ghisi, Daniele']"
Keunhyoung,Griddy: a Drawing Based Music Composition System with Multi-layered Structure,"['Kim, Keunhyoung Luke', ' Seung Yeo, Woon']"
Goffredo,Real-time Music Composition through P-timed Petri Nets,"['Barat\xc3\xa8, Adriano', ' Haus, Goffredo', ' Ludovico, Luca A.']"
