Name,Title,Names
Kai-yuh,Tangible Music Interfaces Using Passive Magnetic Tags,"[u'Paradiso, Joseph A.', u'Hsiao, Kai-yuh', u'Benbasat, Ari']"
IXISoftware,IXI software,"[u',IXISoftware']"
StanzaGroup,Amorphoscapes \& Soundtoys,"[u', StanzaGroup']"
Donagh,Circles and Seeds: Adapting Kpelle Ideas about Music Performance for Collaborative Digital Music performance,"[u'Griffith, Niall J.', u""O'Leary, Sean"", u""O'Shea, Donagh"", u'Hammond, Ed', u""O'Modhrain, Sile""]"
Glorianna,Cutaneous Grooves: Composing for the Sense of Touch,"[u'Gunther, Eric', u'Davenport, Glorianna', u""O'Modhrain, Sile""]"
Breege,The Virtual Bodhran -- The Vodhran,"[u'Marshall, Mark T.', u'Rath, Matthias', u'Moynihan, Breege']"
Atau,Multimodal Interaction in Music Using the Electromyogram and Relative Position Sensing,"[u'Tanaka, Atau', u'Knapp, Benjamin']"
Motohide,Ergonomic Design of A Portable Musical Instrument,"[u'Hatanaka, Motohide']"
Sukandar,The Gluiph: a Nucleus for Integrated Instruments,"[u'Kartadinata, Sukandar']"
Nobuji,"Designing, Playing, and Performing with a Vision-based Mouth Interface","[u'Lyons, Michael J.', u'Haehnel, Michael', u'Tetsutani, Nobuji']"
Diemo,Score Following: State of the Art and New Developments,"[u'Orio, Nicola', u'Lemouton, Serge', u'Schwarz, Diemo']"
Cléo,The Hyper-Flute,"[u""Palacio-Quintin, Cl\\'{e}o""]"
Takuro,"Realtime Sampling System for the Turntablist, Version 2: 16padjoystickcontroller","[u'Lippit, Takuro M.']"
Homei,Thermoscore: A New-type Musical Score with Temperature Sensation,"[u'Miyashita, Homei', u'Nishimoto, Kazushi']"
Gamhewage,A Novel Face-tracking Mouth Controller and its Application to Interacting with Bioacoustic Models,"[u'de Silva, Gamhewage C.', u'Smyth, Tamara', u'Lyons, Michael J.']"
Atau,Mobile Music Making,"[u'Tanaka, Atau']"
Humane,Light Pipes: A Light Controlled MIDI Instrument,"[u'Won, Sook Y.', u'Chan, Humane', u'Liu, Jeremy']"
Álvaro,Network Latency Adaptive Tempo in the Public Sound Objects System,"[u""Barbosa, A\\'lvaro"", u'Cardoso, Jorge', u'Geiger, G\\""{u}nter']"
Björn,{OR}OBORO: A Collaborative Controller with Interpersonal Haptic Feedback,"[u'Carlile, Jennifer', u'Hartmann, Bjo\\""rn']"
Jürg,GoingPublik: Using Realtime Global Score Synthesis,"[u'Gutknecht, Ju\\""rg', u'Clay, Art', u'Frey, Thomas']"
Akamasu,Spinner: A Simple Approach to Reconfigurable User Interfaces,"[u'Kobayashi, Shigeru', u'Masayuki, Akamasu']"
Seiichiro,Hop Step Junk: Sonic Visualization using Footsteps,"[u'Matsumura, Seiichiro', u'Arakawa, Chuichi']"
Chuichi,Hop Step Junk: Sonic Visualization using Footsteps,"[u'Matsumura, Seiichiro', u'Arakawa, Chuichi']"
