AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"[u'Lo\\""{\\i}c Reboursie\\\'re', u'Otso L{\\""a}hdeoja', u'Thomas Drugman', u""Ste\\'phane Dupont"", u""Ce\\'cile Picard-Limpens"", u'Nicolas Riche']",Loïc,male,"Ann Arbor, Michigan",2012,6,Left and right-hand guitar playing techniques detection,NIME,Otso,male,Thomas,male,Stéphane,None,Cécile,None,Nicolas,male,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,None,None,1.0,,,,,,,,,,,,
"[u'Jensenius, Alexander Refsum', u'Voldsund, Arve']",Alexander,male,"Ann Arbor, Michigan",2012,2,"The Music Ball Project: Concept, Design, Development, Performance",NIME,Arve,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Charles Roberts', u'Graham Wakefield', u'Matt Wright']",Charles,male,"Ann Arbor, Michigan",2012,3,Mobile Controls On-The-Fly: An Abstraction for Distributed NIMEs,NIME,Graham,male,Matt,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Michael Rotondo', u'Nick Kruge', u'Ge Wang']",Michael,male,"Ann Arbor, Michigan",2012,3,Many-Person Instruments for Computer Music Performance,NIME,Nick,male,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.61,,,,,,,,,,,,,,,
"[u'Matthieu Savary', u'Diemo Schwarz', u'Denis Pellerin']",Matthieu,male,"Ann Arbor, Michigan",2012,3,DIRTI ---Dirty Tangible Interfaces,NIME,Diemo,None,Denis,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,0.93,,,,,,,,,,,,,,,
"[u""Se\\'bastien Schiesser"", u'Jan C. Schacher']",Sébastien,None,"Ann Arbor, Michigan",2012,2,SABRe: The Augmented Bass Clarinet,NIME,Jan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.6,,,,,,,,,,,,,,,,
[u'Kevin Schlei'],Kevin,male,"Ann Arbor, Michigan",2012,1,TC-11: A Programmable Multi-Touch Synthesizer for the iPad,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Dan Moses Schlessinger'],Dan,male,"Ann Arbor, Michigan",2012,1,Concept Tahoe: Microphone Midi Control,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
[u'Diemo Schwarz'],Diemo,None,"Ann Arbor, Michigan",2012,1,The Sound Space as Musical Instrument: Playing Corpus-Based Concatenative Synthesis,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
[u'Eyal Shahar'],Eyal,male,"Ann Arbor, Michigan",2012,1,SoundStrand: a Tangible Interface for Composing Music with Limited Degrees of Freedom,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"[u'Greg Shear', u'Matthew Wright']",Greg,male,"Ann Arbor, Michigan",2012,2,Further Developments in the Electromagnetically Sustained Rhodes Piano,NIME,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Skogstad, St\\aale A.', u'Kristian Nymoen', u'de Quay, Yago', u'Jensenius, Alexander Refsum']",Ståle,male,"Ann Arbor, Michigan",2012,4,Developing the Dance Jockey System for Musical Interaction with the Xsens {MV}N Suit,NIME,Kristian,male,Yago,male,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.94,1.0,1.0,,,,,,,,,,,,,,
"[u'Benjamin D. Smith', u'Guy E. Garnett']",Benjamin,male,"Ann Arbor, Michigan",2012,2,Unsupervised Play: Machine Learning Toolkit for Max,NIME,Guy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Benjamin D. Smith', u'Guy E. Garnett']",Benjamin,male,"Ann Arbor, Michigan",2012,2,Unsupervised Play: Machine Learning Toolkit for Max,NIME,Guy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Jeff Snyder', u'Andrew McPherson']",Jeff,male,"Ann Arbor, Michigan",2012,2,The JD-1: an Implementation of a Hybrid Keyboard/Sequencer Controller for Analog Synthesizers,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
