AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10
"[u'Bahn, Curtis', u'Trueman, Dan']",Curtis,male,America,2001,2,interface : Electronic Chamber Ensemble,NIME,Dan,male,,,,,,,,,,,,,,,,,,
"[u'Cook, Perry R.']",Perry,male,America,2001,1,Principles for Designing Computer Music Controllers,NIME,,,,,,,,,,,,,,,,,,,,
"[u""D'Arcangelo, Gideon""]",Gideon,male,America,2001,1,Creating Contexts of Creativity : Musical Composition with Modular Components,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Goudeseune, Camille', u'Garnett, Guy', u'Johnson, Timothy']",Camille,female,America,2001,3,Resonant Processing of Instrumental Sound Controlled by Spatial Position,NIME,Guy,male,Timothy,male,,,,,,,,,,,,,,,,
"[u'Gurevich, Michael', u'von Muehlen, Stephan']",Michael,male,USA,2001,2,The Accordiatron : A MIDI Controller For Interactive Music,NIME,Stephan,male,,,,,,,,,,,,,,,,,,
"[u'Jorda, Sergi']",Sergi,male,Spain,2001,1,New Musical Interfaces and New Music-making Paradigms,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Mase, Kenji', u'Yonezawa, Tomoko']",Kenji,male,Japan,2001,2,"Body , Clothes , Water and Toys : Media Towards Natural Music Expressions with Digital Sounds",NIME,Tomoko,female,,,,,,,,,,,,,,,,,,
"[u'Orio, Nicola', u'Schnell, Norbert', u'Wanderley, Marcelo M.']",Nicola,female,France,2001,3,Input Devices for Musical Expression : Borrowing Tools from HCI,NIME,Norbert,male,Marcelo,male,,,,,,,,,,,,,,,,
"[u'Overholt, Dan']",Dan,male,USA,2001,1,The MATRIX : A Novel Controller for Musical Expression,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Paradiso, Joseph A.', u'Hsiao, Kai-yuh', u'Benbasat, Ari']",Joseph,male,USA,2001,3,Tangible Music Interfaces Using Passive Magnetic Tags,NIME,Kai-yuh,None,Ari,male,,,,,,,,,,,,,,,,
"[u'Robson, Dominic']",Dominic,male,England,2001,1,PLAY! : Sound Toys For the Non Musical,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Ulyate, Ryan', u'Bianciardi, David']",Ryan,male,America,2001,2,The Interactive Dance Club : Avoiding Chaos In A Multi Participant Environment,NIME,David,male,,,,,,,,,,,,,,,,,,
"[u'Verplank, Bill', u'Sapp, Craig', u'Mathews, Max']",Bill,male,America,2001,3,A Course on Controllers,NIME,Craig,male,Max,male,,,,,,,,,,,,,,,,
"[u'Wessel, David', u'Wright, Matthew']",David,male,America,2001,2,Problems and Prospects for Intimate Musical Control of Computers,NIME,Matthew,male,,,,,,,,,,,,,,,,,,
"[u',IXISoftware']",IXISoftware,None,England,2002,1,IXI software,NIME,,,,,,,,,,,,,,,,,,,,
"[u', StanzaGroup']",StanzaGroup,None,England,2002,1,Amorphoscapes \& Soundtoys,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Arfib, Daniel', u'Dudon, Jacques']",Daniel,male,France,2002,2,A Digital Emulator of the Photosonic Instrument,NIME,Jacques,male,,,,,,,,,,,,,,,,,,
"[u'Baumann, Alain', u""S\\'{a}nchez, Rosa""]",Alain,male,Spain,2002,2,Interdisciplinary Applications of New Instruments,NIME,Rosa,female,,,,,,,,,,,,,,,,,,
"[u'Bernard, David']",David,male,Scotland,2002,1,Experimental Controllers for Live Electronic Music Performance (vs. Copyright).,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Blaine, Tina', u'Forlines, Clifton']",Tina,female,America,2002,2,JAM-O-WORLD: Evolution of the Jam-O-Drum Multi-player Musical Controller into the Jam-O-Whirl Gaming Interface,NIME,Clifton,male,,,,,,,,,,,,,,,,,,
"[u'Bongers, Bert', u'Harris, Yolande']",Bert,male,Spain,2002,2,A Structured Instrument Design Approach: The Video-Organ,NIME,Yolande,female,,,,,,,,,,,,,,,,,,
"[u'Burtner, Matthew']",Matthew,male,America,2002,1,Noisegate 67 for Metasaxophone: Composition and Performance Considerations of a New Computer Music Controller,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Camurri, Antonio', u'Trocca, Riccardo', u'Volpe, Gualtiero']",Antonio,male,Italy,2002,3,Interactive Systems Design: A KANSEI-based Approach,NIME,Riccardo,male,Gualtiero,male,,,,,,,,,,,,,,,,
"[u'Chadabe, Joel']",Joel,male,America,2002,1,The Limitations of Mapping as a Structural Descriptive in Electronic Instruments,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Couturier, Jean-Michel']",Jean-Michel,male,France,2002,1,A Scanned Synthesis Virtual Instrument,NIME,,,,,,,,,,,,,,,,,,,,
"[u""D'Arcangelo, Gideon""]",Gideon,male,America,2002,1,Creating a Context for Musical Innovation: A NIME Curriculum,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Fels, Sidney S.', u'Vogt, Florian']",Sidney,male,Canada,2002,2,Tooka: Explorations of Two Person Instruments,NIME,Florian,male,,,,,,,,,,,,,,,,,,
"[u'Ferris, Kieran', u'Bannon, Liam']",Kieran,male,Ireland,2002,2,The Musical Box Garden,NIME,Liam,male,,,,,,,,,,,,,,,,,,
"[u""Fl\\'{e}ty, Emmanuel""]",Emmanuel,male,France,2002,1,AtoMIC Pro: a Multiple Sensor Acquisition Device,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Gadd, Ashley', u'Fels, Sidney S.']",Ashley,female,Canada,2002,2,MetaMuse: Metaphors for Expressive Instruments,NIME,Sidney,male,,,,,,,,,,,,,,,,,,
"[u'Griffith, Niall J.', u""O'Leary, Sean"", u""O'Shea, Donagh"", u'Hammond, Ed', u""O'Modhrain, Sile""]",Niall,male,Ireland,2002,5,Circles and Seeds: Adapting Kpelle Ideas about Music Performance for Collaborative Digital Music performance,NIME,Sean,male,Donagh,None,Ed,male,Sile,male,,,,,,,,,,,,
"[u'Gunther, Eric', u'Davenport, Glorianna', u""O'Modhrain, Sile""]",Eric,male,America,2002,3,Cutaneous Grooves: Composing for the Sense of Touch,NIME,Glorianna,None,Sile,male,,,,,,,,,,,,,,,,
"[u'Hankins, Tim', u'Merrill, David', u'Robert, Jocelyn']",Tim,male,America,2002,3,Circular Optical Object Locator,NIME,David,male,Jocelyn,female,,,,,,,,,,,,,,,,
"[u'Hasan, Leila', u'Yu, Nicholas', u'Paradiso, Joseph A.']",Leila,female,America,2002,3,The Termenova : A Hybrid Free-Gesture Interface,NIME,Nicholas,male,Joseph,male,,,,,,,,,,,,,,,,
"[u'Hunt, Andy D.', u'Wanderley, Marcelo M.', u'Paradis, Matthew']",Andy,male,England,2002,3,The importance of Parameter Mapping in Electronic Instrument Design,NIME,Marcelo,male,Matthew,male,,,,,,,,,,,,,,,,
"[u'Huott, Robert']",Robert,male,America,2002,1,An Interface for Precise Musical Control,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Taelman,Johannes']",Johannes,male,Belgium,2002,1,A Low-cost Sonar for Unobtrusive Man-machine Interfacing,NIME,,,,,,,,,,,,,,,,,,,,
"[u'Jord\\`{a}, Sergi']",Sergi,male,Spain,2002,1,Afasia: the Ultimate Homeric One-man-multimedia-band,NIME,,,,,,,,,,,,,,,,,,,,
