Id,Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male%,Female%,Unknown%
1,1975,23,2,3,28,0.8214285714285714,0.07142857142857142,0.10714285714285714
2,1977,21,2,0,23,0.9130434782608695,0.08695652173913043,0.0
3,1978,57,4,2,63,0.9047619047619048,0.06349206349206349,0.031746031746031744
4,1980,51,4,3,58,0.8793103448275862,0.06896551724137931,0.05172413793103448
5,1981,66,2,4,72,0.9166666666666666,0.027777777777777776,0.05555555555555555
6,1982,73,7,4,84,0.8690476190476191,0.08333333333333333,0.047619047619047616
7,1983,21,3,3,27,0.7777777777777778,0.1111111111111111,0.1111111111111111
8,1984,57,6,7,70,0.8142857142857143,0.08571428571428572,0.1
9,1985,84,5,3,92,0.9130434782608695,0.05434782608695652,0.03260869565217391
10,1986,134,7,13,154,0.8701298701298701,0.045454545454545456,0.08441558441558442
11,1987,70,6,1,77,0.9090909090909091,0.07792207792207792,0.012987012987012988
12,1988,72,4,5,81,0.8888888888888888,0.04938271604938271,0.06172839506172839
13,1989,108,9,8,125,0.864,0.072,0.064
14,1990,160,13,9,182,0.8791208791208791,0.07142857142857142,0.04945054945054945
15,1991,173,15,7,195,0.8871794871794871,0.07692307692307693,0.035897435897435895
16,1992,147,9,10,166,0.8855421686746988,0.05421686746987952,0.060240963855421686
17,1993,161,14,21,196,0.8214285714285714,0.07142857142857142,0.10714285714285714
18,1994,189,10,4,203,0.9310344827586207,0.04926108374384237,0.019704433497536946
19,1995,217,18,7,242,0.8966942148760331,0.0743801652892562,0.028925619834710745
20,1996,198,26,10,234,0.8461538461538461,0.1111111111111111,0.042735042735042736
21,1997,187,25,8,220,0.85,0.11363636363636363,0.03636363636363636
22,1998,148,13,8,169,0.8757396449704142,0.07692307692307693,0.047337278106508875
23,1999,205,33,12,250,0.82,0.132,0.048
24,2000,207,32,8,247,0.8380566801619433,0.12955465587044535,0.032388663967611336
25,2001,189,21,2,212,0.8915094339622641,0.09905660377358491,0.009433962264150943
26,2002,198,30,10,238,0.8319327731092437,0.12605042016806722,0.04201680672268908
27,2003,133,16,4,153,0.869281045751634,0.10457516339869281,0.026143790849673203
28,2004,239,24,7,270,0.8851851851851852,0.08888888888888889,0.025925925925925925
29,2005,347,37,11,395,0.8784810126582279,0.09367088607594937,0.027848101265822784
30,2006,238,28,6,272,0.875,0.10294117647058823,0.022058823529411766
31,2007,383,53,13,449,0.8530066815144766,0.11804008908685969,0.028953229398663696
32,2008,293,38,8,339,0.8643067846607669,0.11209439528023599,0.02359882005899705
33,2009,221,30,6,257,0.8599221789883269,0.11673151750972763,0.023346303501945526
34,2010,245,24,6,275,0.8909090909090909,0.08727272727272728,0.02181818181818182
35,2011,229,25,5,259,0.8841698841698842,0.09652509652509653,0.019305019305019305
36,2012,199,28,6,233,0.8540772532188842,0.12017167381974249,0.02575107296137339
37,2013,124,18,7,149,0.8322147651006712,0.12080536912751678,0.04697986577181208
38,2014,500,78,15,593,0.8431703204047217,0.1315345699831366,0.025295109612141653
39,2015,152,27,8,187,0.8128342245989305,0.1443850267379679,0.0427807486631016
40,2016,178,30,6,214,0.8317757009345794,0.14018691588785046,0.028037383177570093
41,2017,136,28,9,173,0.7861271676300579,0.16184971098265896,0.05202312138728324
42,2018,85,16,6,107,0.794392523364486,0.14953271028037382,0.056074766355140186
43,2019,135,24,6,165,0.8181818181818182,0.14545454545454545,0.03636363636363636
44,2021,155,28,14,197,0.7868020304568528,0.14213197969543148,0.07106598984771574
