Gender,Place,Year,NumberOfAuthors,Conference,Gender2,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender12,Gender13,Gender14,Gender15,Gender16,Gender17
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,3,SMC,male,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,5,SMC,male,male,male,female,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,3,SMC,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
None,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
