Gender0Female,Gender1Male,Gender0None,Place,Year,NumberOfAuthors,Conference,Gender2,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender12,Gender13,Gender14,Gender15,Gender16,Gender17
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,3,SMC,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,5,SMC,1,1,1,2,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,3,SMC,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,0,1,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2004,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,4,SMC,1,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2004,5,SMC,1,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2004,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,3,SMC,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,3,SMC,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,4,SMC,2,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,3,SMC,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,6,SMC,1,1,1,2,1,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,4,SMC,1,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Italy,2005,2,SMC,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Italy,2005,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,4,SMC,1,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2006,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,4,SMC,1,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,2,SMC,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,5,SMC,1,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2006,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,2,SMC,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2006,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,2,SMC,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,2,SMC,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,0,1,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,5,SMC,1,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,9,SMC,1,1,1,1,1,2,2,1,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Greece,2007,4,SMC,2,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Germany,2008,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Germany,2008,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Germany,2008,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Germany,2008,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Germany,2008,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Germany,2008,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Germany,2008,4,SMC,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null
