FirstName1stAuthor,Gender,Gender2,Gender3,Gender4,Gender5,Gender6,Country,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,FirstName3rdAuthor,FirstName4thAuthor,FirstName5thAuthor,FirstName6thAuthor
Curtis,1,1,0,0,0,0,America,2001,2,interface:ElectronicChamberEnsemble,NIME,Dan,,,,
Perry,1,0,0,0,0,0,America,2001,1,PrinciplesforDesigningComputerMusicControllers,NIME,,,,,
Gideon,1,0,0,0,0,0,America,2001,1,CreatingContextsofCreativity:MusicalCompositionwithModularComponents,NIME,,,,,
Camille,3,1,1,0,0,0,America,2001,3,ResonantProcessingofInstrumentalSoundControlledbySpatialPosition,NIME,Guy,Timothy,,,
Michael,1,1,0,0,0,0,USA,2001,2,TheAccordiatron:AMIDIControllerForInteractiveMusic,NIME,Stephan,,,,
Sergi,1,0,0,0,0,0,Spain,2001,1,NewMusicalInterfacesandNewMusic-makingParadigms,NIME,,,,,
Kenji,1,4,0,0,0,0,Japan,2001,2,"Body,Clothes,WaterandToys:MediaTowardsNaturalMusicExpressionswithDigitalSounds",NIME,Tomoko,,,,
Nicola,4,1,1,0,0,0,France,2001,3,InputDevicesforMusicalExpression:BorrowingToolsfromHCI,NIME,Norbert,Marcelo,,,
Dan,1,0,0,0,0,0,USA,2001,1,TheMATRIX:ANovelControllerforMusicalExpression,NIME,,,,,
Joseph,1,0,1,0,0,0,USA,2001,3,TangibleMusicInterfacesUsingPassiveMagneticTags,NIME,Kai-yuh,Ari,,,
Dominic,1,0,0,0,0,0,England,2001,1,PLAY!:SoundToysFortheNonMusical,NIME,,,,,
