,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
,"Neuman, Israel",Israel,male,USA,2015,1,SIG~: Performance Interface for Schaefferian Sound-Object Improvisation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
,"Musick, Michael; Forsyth, Jonathan P.; Bittner, Rachel",Michael,male,USA,2015,3,Building a Harmonically Ecosystemic Machine: Combining Sonic Ecosystems with Models of Contemporary Harmonic Language,ICMC,Jonathan,male,Rachel,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
,"Einarsson, Anna; Friberg, Anders",Anna,female,USA,2015,2,Using Singing Voice Vibrato as a Control Parameter in a Chamber Opera,ICMC,Anders,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
,"Variego, Jorge",Jorge,male,USA,2015,1,Architecture in Motion: a Model for Music Composition,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,"Dannenberg, Roger B.; Stiles, Jesse; Li, Yuezhang; Zhang, Qiao",Roger,male,USA,2015,4,An Online Interactive Course on Computer Music,ICMC,Jesse,male,Yuezhang,None,Qiao,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.93,None,0.67,,,,,,,,,,,,,
,"Dudas, Richard",Richard,male,USA,2015,1,Another Take on Renovating Dated Technology for Concert Performance,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,"Rudi, JМьran",JМьran,male,USA,2015,1,The Just Intonation Automat ‰ЫТ a Musically Adaptive Interface,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,"Krupowicz, StanisЃвaw",StanisЃвaw,male,USA,2015,1,Witold LutosЃвawski ‰ЫТ An Algorithmic Music Composer?,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,"Roberts, Charles; Wright, Matthew; Kuchera-Morin, JoAnn",Charles,male,USA,2015,3,Music Programming in Gibber,ICMC,Matthew,male,JoAnn,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.99,,,,,,,,,,,,,,
,"MacCallum, John; Gottfried, Rama; Rostovtsev, Ilya; Bresson, Jean; Freed, Adrian",John,male,USA,2015,5,Dynamic Message-Oriented Middleware with Open Sound Control and Odot,ICMC,Rama,male,Ilya,male,Jean,male,Adrian,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.61,0.98,0.53,0.97,,,,,,,,,,,,
