Name ,Correct Gender,Title,Names
Aime,None,Optimized Real-Time Simulation of Objects for Musical Synthesis and Animated Image Synthesis,"['Florens, Jean-Loup', ' Razafindrakoto, Aime', ' Luciani, Annie', ' Cadoz, Claude']"
Aki,male,Sonic Scenography - Equalized Structure-borne Sound for Aurally Active Set Design,"['L\xc3\xa4hdeoja, Otso', ' Haapaniemi, Aki', ' V\xc3\xa4lim\xc3\xa4ki, Vesa']"
Aki,male,Stimulus Complexity and Time Judgments,"['Pasoulas, Aki']"
ÌÛlex,male,LARYNXOPHONE: USING VOICE AS A WIND CONTROLLER,"['Loscos, \xc3\x80lex', ' Celma, \xc3\x93scar']"
Alexis,male,AN INSTANCE BASED MODEL FOR GENERATING EXPRESSIVE PERFORMANCE DURING COMPOSITION,"['Kirke, Alexis', ' Miranda, Eduardo R.']"
Alexis,male,Application of multi-agent whale modeling to an interactive saxophone and whales duet,"['Kirke, Alexis', ' Freeman, Samuel', ' Miranda, Eduardo R.']"
Alexis,male,CAUSAL/ANTICAUSAL DECOMPOSITION FOR MIXED-PHASE DESCRIPTION OF BRASS AND BOWED STRING SOUNDS,"[""d'Alessandro, Nicolas"", ' Moinet, Alexis', ' Dubuisson, Thomas', ' Dutoit, Thierry']"
Alexis,male,Cloud chamber: a performance involving real time two-way interaction between subatomic radioactive particles and violinist,"['Kirke, Alexis', ' Miranda, Eduardo', ' Chiaramonte, Antonino', ' Troisi, Anna R.', ' Matthias, John', ' Radtke, Jeff', ' Fry, Nicholas', ' McCabe, Catherine', ' Bull, Martyn']"
Alexis,male,Combining EEG Frontal asymmetry studies with affective algorithmic composition and expressive performance models,"['Kirke, Alexis', ' Miranda, Eduardo']"
Alexis,male,COMPER: TOWARDS A MODEL FOR GENERATING COMPOSITIONS FROM EXPRESSIVE MUSIC PERFORMANCES,"['Kirke, Alexis', ' Miranda, Eduardo R.']"
Alexis,male,Developing methods for computer programming by musical performance and composition,"['Kirke, Alexis', ' Miranda, Eduardo R.']"
Alexis,male,Emergent Construction of melodic pitch and hierarchy through agents communicating emotion without melodic intelligence,"['Kirke, Alexis', ' Miranda, Eduardo R.']"
Alexis,male,EVALUATING PERCEPTUAL SEPARATION IN A PILOT SYSTEM FOR AFFECTIVE COMPOSITION,"['Williams, Duncan', ' Kirke, Alexis', ' Miranda, Eduardo', ' Daly, Ian', ' Roesch, Etienne B.', ' Weaver, James C. E.', ' Nasuto, Slawomir J. Nasuto']"
Alexis,female,Towards Defining the Potential of Electroacoustic Infrasonic Music,"['Story Crawshaw, Alexis']"
Alexis,male,Towards using expressive performance algorithms for typist emotion detection,"['Kirke, Alexis', ' Bonnot, Matthieu', ' Miranda, Eduardo R.']"
Alo,male,Gene expression synthesis,"['Allik, Alo']"
Aluizio,male,A Formal Composition System Based on the Theory of Time Trees,"['Arcela, Aluizio', ' Ramalho, Gerber']"
Aluizio,male,Time-Trees: The Inner Organization of Intervals,"['Arcela, Aluizio']"
AmÌ_lcar,male,EXPLOITING MELODIC SMOOTHNESS FOR MELODY DETECTION IN POLYPHONIC AUDIO,"['Paiva, Rui Pedro', ' Mendes, Teresa', ' Cardoso, Am\xc3\xadlcar']"
AmÌ_lcar,male,TOWARDS BI-DIMENSIONAL CLASSIFICATION OF SYMBOLIC MUSIC BY AFFECTIVE CONTENT,"['Oliveira, Ant\xc3\xb3nio Pedro', ' Cardoso, Am\xc3\xadlcar']"
Ananda,None,Binaural Navigation for the Visually Impaired with a Smartphone,"['Tae Hoon, Lee', ' Reddy Vuyyuru, Manish', ' Kumar, Ananda T.', ' Lui, Simon']"
Anandi,female,MUSICAL SOUNDSCAPES FOR AN ACCESSIBLE AQUARIUM: BRINGING DYNAMIC EXHIBITS TO THE VISUALLY IMPAIRED,"['Walker, Bruce N.', ' Kim, Jonathan', ' Pendse, Anandi']"
Andranick,None,An Algorithm for Recognition of Chords,"['Tanguiane, Andranick S.']"
Andranick,None,An Artificial Perception Model and Its Application to Music Recognition,"['Tanguiane, Andranick']"
Andranick,None,The Criterion of Data Complexity in Rhythm Recognition,"['Tanguiane, Andranick']"
Andrea,male,A Dispersive Resonator in Real Time on MARS Workstation,"['Paladin, Andrea', ' Rocchesso, Davide']"
Andrea,None,A real-time platform for interactive dance and music systems,"['Camurri, Antonio', ' Coletto, Paolo', ' Peri, Massimiliano', ' Ricchetti, Matteo', ' Ricci, Andrea', ' Trocca, Riccardo', ' Volpe, Gualtiero']"
Andrea,female,Automatic Transcription of Japanese Taiko Drumming Using the Microsoft Kinect,"['Hua, Willian', ' Salgian, Andrea']"
Andrea,male,BACH: AN ENVIRONMENT FOR COMPUTER-AIDED COMPOSITION IN MAX,"['Agostini, Andrea', ' Ghisi, Daniele']"
Andrea,male,cage: a high-level library for real-time computer-aided composition,"['Agostini, Andrea', ' Daubresse, \xc3\x89ric', ' Ghisi, Daniele']"
Andrea,male,Fine-tuned Control of Concatenative Synthesis with CATART Using the BACH Library for MAX,"['Einbond, Aaron', ' Trapani, Christopher', ' Agostini, Andrea', ' Ghisi, Daniele', ' Schwarz, Diemo']"
