,AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17,
,"[u'Bahn, Curtis', u'Trueman, Dan']",Curtis,male,America,2001,2,interface : Electronic Chamber Ensemble,NIME,Dan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.98,,,,,,,,,,,,,,,,
,"[u'Cook, Perry R.']",Perry,male,America,2001,1,Principles for Designing Computer Music Controllers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,
,"[u""D'Arcangelo, Gideon""]",Gideon,male,America,2001,1,Creating Contexts of Creativity : Musical Composition with Modular Components,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Goudeseune, Camille', u'Garnett, Guy', u'Johnson, Timothy']",Camille,female,America,2001,3,Resonant Processing of Instrumental Sound Controlled by Spatial Position,NIME,Guy,male,Timothy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,1,1,,,,,,,,,,,,,,,
,"[u'Gurevich, Michael', u'von Muehlen, Stephan']",Michael,male,USA,2001,2,The Accordiatron : A MIDI Controller For Interactive Music,NIME,Stephan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Jorda, Sergi']",Sergi,male,Spain,2001,1,New Musical Interfaces and New Music-making Paradigms,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Mase, Kenji', u'Yonezawa, Tomoko']",Kenji,male,Japan,2001,2,"Body , Clothes , Water and Toys : Media Towards Natural Music Expressions with Digital Sounds",NIME,Tomoko,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.96,,,,,,,,,,,,,,,,
,"[u'Orio, Nicola', u'Schnell, Norbert', u'Wanderley, Marcelo M.']",Nicola,female,France,2001,3,Input Devices for Musical Expression : Borrowing Tools from HCI,NIME,Norbert,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,1,1,,,,,,,,,,,,,,,
,"[u'Overholt, Dan']",Dan,male,USA,2001,1,The MATRIX : A Novel Controller for Musical Expression,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
,"[u'Paradiso, Joseph A.', u'Hsiao, Kai-yuh', u'Benbasat, Ari']",Joseph,male,USA,2001,3,Tangible Music Interfaces Using Passive Magnetic Tags,NIME,Kai-yuh,None,Ari,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,None,0.76,,,,,,,,,,,,,,,
