Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male,Female,Unknown
2001,23,3,1,27,0.8518518518518519,0.1111111111111111,0.037037037037037035
2002,79,14,6,99,0.797979797979798,0.1414141414141414,0.06060606060606061
2003,76,16,5,97,0.7835051546391752,0.16494845360824742,0.05154639175257732
2004,92,21,5,118,0.7796610169491526,0.17796610169491525,0.0423728813559322
2005,143,15,8,166,0.8614457831325302,0.09036144578313253,0.04819277108433735
2006,157,23,14,194,0.8092783505154639,0.11855670103092783,0.07216494845360824
2007,202,37,10,249,0.8112449799196787,0.14859437751004015,0.040160642570281124
2008,159,31,8,198,0.803030303030303,0.15656565656565657,0.04040404040404041
2009,200,29,13,242,0.8264462809917356,0.11983471074380166,0.05371900826446281
2010,232,39,26,297,0.7811447811447811,0.13131313131313133,0.08754208754208755
2011,267,34,33,334,0.7994011976047904,0.10179640718562874,0.09880239520958084
2012,272,30,40,342,0.7953216374269005,0.08771929824561403,0.11695906432748537
2013,211,39,34,284,0.7429577464788732,0.13732394366197184,0.11971830985915492
2014,324,41,26,391,0.8286445012787724,0.10485933503836317,0.06649616368286446
2015,225,27,24,276,0.8152173913043478,0.09782608695652174,0.08695652173913043
TotCount,2662,399,253,3314
Tot%,0.8032589016294508,0.1203983101991551,0.07634278817139409,1.0
TotArticles,1369
NamesLowProb,0
