,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
0,Ronald Mo; Bin Wu; Andrew Horner,Ronald,male,Netherlands,2016,3,12 The Effects of Reverberation Time and Amount on the Emotional Characteristics,ICMC,Bin,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.89,1.0,,,,,,,,,,,,,,
1,Juan Li; Yinrui Wang; Xinyu Yang,Juan,male,Netherlands,2016,3,"16 General Characteristics Analysis of Chinese Folk Songs based on Layered
Stabilities Detection(LSD) Audio Segmentation Algorithm",ICMC,Yinrui,None,Xinyu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,None,1.0,,,,,,,,,,,,,,
2,Peter Pabon So Oishi,Peter,male,Netherlands,2016,1,21 Additive Synthesis with Band-Limited Oscillator Sections,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
3,Thibaut Carpentier,Thibaut,male,Netherlands,2016,1,122 Panoramix: 3D mixing and post-production workstation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
4,Vesa Norilo,Vesa,male,Netherlands,2016,1,116 Kronos Meta-Sequencer -- From Ugens to Orchestra; Score and Beyond,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,
5,Philip Wigham Carola Boehm,Philip,male,Netherlands,2016,1,36 Exploiting Mimetic Theory for Instrument Design,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
6,Sonya Hofer,Sonya,female,Netherlands,2016,1,40 Viewing the Wrong Side of the Screen in Experimental Electronica Performances,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
7,Ritwik Banerji ,Ritwik,male,Netherlands,2016,1,48 Balancing Defiance and Cooperation: The Design and Human Critique of a Virtual Free improviser,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
8,Aaron Einbond; Diemo Schwarz; Riccardo Borghesi; Norbert Schnell,Aaron,male,Netherlands,2016,4,140 Introducing CatOracle: Corpus-based concatenative improvisation with the Audio Oracle algorithm,ICMC,Diemo,None,Riccardo,male,Norbert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,1.0,,,,,,,,,,,,,
9,Frédéric Dufeu,Frédéric,male,Netherlands,2016,1,134 A Permissive Graphical Patcher for SuperCollider Synths,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
10,Stuart James,Stuart,male,Netherlands,2016,1,128 Multi-Point Nonlinear Spatial Distribution of Effects across the Soundfield,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
11,Giacomo Lepri,Giacomo,male,Netherlands,2016,1,1 InMuSIC: an Interactive Multimodal System for Electroacoustic Improvisation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
12,Falk Morawitz,Falk,male,Netherlands,2016,1,6 Molecular Sonification of Nuclear Magnetic Resonance Data as a Novel Tool for Sound creation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
13,Javier Alejandro Garavaglia,Javier,male,Netherlands,2016,1,26 Granular Spatialisation; a new method for diffusing sound in high-density arrays of loudspeakers,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14,Jeyong Jung; Peter Pabon; Graham Flett,Jeyong,None,Netherlands,2016,3,585 The Paradox of Random Order,ICMC,Peter,male,Graham,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,,,,,,,,,,,,,,
15,Juan Carlos Vasquez; Koray Tahiroglu; Johan Kildal,Juan,male,Netherlands,2016,3,32 MOTIVIC THOROUGH-COMPOSITION APPLIED TO A NETWORK OF INTELLIGENT AGENTS,ICMC,Koray,male,Johan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,,,,,,,,,,,,,,
16,Andrew Stewart,Andrew,male,Netherlands,2016,1,83 KARLAX PERFORMANCE TECHNIQUES: IT FEELS LIKE,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,Carola Boehm,Carola,female,Netherlands,2016,1,90 Music Industry; Academia and the Public,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
18,Riccardo Wanke,Riccardo,male,Netherlands,2016,1,98 A cross-genres (ec)static perspective on contemporary experimental music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
19,Anıl Camci; Vincent Meelberg,Anıl,male,Netherlands,2016,2,104 Diegetic Affordances and Affect in Electronic Music,ICMC,Vincent,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1.0,,,,,,,,,,,,,,,
20,Hyeongseok Wi; Kyung Hoon Hyun; Jongpil Lee; Wonjae Lee,Hyeongseok,None,Netherlands,2016,4,110 The Effect of DJs’ Social Network on Music Popularity,ICMC,Kyung,male,Jongpil,male,Wonjae,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.56,1.0,None,,,,,,,,,,,,,
21,Yoichi Nagashima,Yoichi,male,Netherlands,2016,1,54 Bio-Sensing and Bio-Feedback Instruments --- DoubleMyo; MuseOSC and MRTI2015 ---,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
