Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male,Female,Unknown
2004,85,16,2,103,0.8252427184466019,0.1553398058252427,0.019417475728155338
2005,59,17,5,81,0.7283950617283951,0.20987654320987653,0.06172839506172839
2006,39,10,3,52,0.75,0.19230769230769232,0.057692307692307696
2007,100,23,10,133,0.7518796992481203,0.17293233082706766,0.07518796992481203
2008,59,6,10,75,0.7866666666666666,0.08,0.13333333333333333
2009,140,15,7,162,0.8641975308641975,0.09259259259259259,0.043209876543209874
2010,164,24,7,195,0.841025641025641,0.12307692307692308,0.035897435897435895
2011,163,37,12,212,0.7688679245283019,0.17452830188679244,0.05660377358490566
2012,145,28,9,182,0.7967032967032966,0.15384615384615385,0.04945054945054945
2013,257,42,19,318,0.8081761006289309,0.1320754716981132,0.059748427672955975
2014,541,101,43,685,0.7897810218978102,0.14744525547445256,0.06277372262773723
2015,188,31,20,239,0.7866108786610879,0.1297071129707113,0.08368200836820083
2016,186,28,17,231,0.8051948051948052,0.12121212121212122,0.0735930735930736
TotCount,2126,378,164,2668
Tot%,0.7968515742128935,0.14167916041979012,0.06146926536731634,1.0
TotArticles,1036
NamesLowProb,158
