Name,Correct Gender,Title,Names
Alexis,female,Towards Defining the Potential of Electroacoustic Infrasonic Music,"['Story Crawshaw, Alexis']"
Andrea,female,PERSONALITY AND COMPUTER MUSIC,"['Sandra Garrido', '\xc2\xa0Emery Schubert', '\xc2\xa0Gunter Kreutz', '\xc2\xa0Andrea Halpern']"
Andrea,female,Teaching Robots to Conduct: Automatic Extraction of Conducting Information from Sheet Music,"['Salgian, Andrea', ' Agina, Lawrence', ' Nakra, Teresa M.']"
Anuschka,female,Sensor and Software Technologies for Lip Pressure Measurements in Trumpet and Cornet Playing - from Lab to Classroom,"['Tobias Grosshauser', '\xc2\xa0Gerhard Troester', '\xc2\xa0Anuschka Thul', '\xc2\xa0Mattias Bertsch']"
Artemi-Maria,female,ENGAGEMENT AND INTERACTION IN PARTICIPATORY SOUND ART,"['Goudarzi, Visda', '\xc2\xa0Gioti, Artemi-Maria']"
Aw,female,"SmartDJ, An Interactive Music Player for Music Discovery by Similarity Comparison","['Maureen, Aw Si Ying', '\xc2\xa0Sion, Lim Chung', '\xc2\xa0PerMagnus Lindborg']"
Berardina,female,Recommending Music to Groups in Fitness Classes,"['De Carolis, Berardina', ' Ferilli, Stefano', ' Orio, Nicola']"
Chunyang,female,SynPy: a Python Toolkit for Syncopation Modelling,"['Chunyang Song', '\xc2\xa0Marcus Pearce', '\xc2\xa0Christopher Harte']"
Heidi-Maria,female,Warped low-order modeling of musical tones,"['Mignot, R\xc3\xa9mi', '\xc2\xa0Lehtonen, Heidi-Maria', '\xc2\xa0V\xc3\xa4lim\xc3\xa4ki, Vesa']"
HГ©lianthe,female,Modulus p Rhythmic Tiling Canons and some implementations in Open Music visual programming language,"['Caure, H\xc3\xa9lianthe', ' Agon, Carlos', ' Andreatta, Moreno']"
Ilge,female,Machine Improvisation with Formal Specifications,"['Donz\xc3\xa9, Alexandre', ' Valle, Rafael', ' Akkaya, Ilge', ' Libkind, Sophie', ' Seshia, Sanjit A.', ' Wessel, David']"
Jin,female,Embodiment and agency: Towards an aesthetics of interactive performativity,"['Jin Hyun Kim', '  Uwe Seifert']"
Kyung,female,"INTUNE: A Musician's Intonation Visualization System""","['Kyung Ae Lim', ' Christopher Raphael']"
Leigh,female,TRENDS IN/OVER TIME: RHYTHM IN SPEECH AND MUSICAL MELODY IN 19TH-CENTURY ART SONG,['Leigh VanHandel']
LГ­lian,female,Space Resonating Through Sound,"['Fernando Iazzetta ', ' L\xc3\xadlian Campesato']"
Maria-Dimitra,female,Towards a decodification of the graphical scores of Anestis Logothetis (1921-1994). The graphical space of Odysee (1963).,"[' Maria-Dimitra Baveli ', ' Anastasia Georgaki']"
Miracle,female,Design of an Interactive Earphone Simulator and Results from a Perceptual Experiment,"['PerMagnus Lindborg', ' Lim, Miracle J Y']"
Morgan,female,Using EarSketch to Broaden Participation in Computing and Music,"['Freeman, Jason', '\xc2\xa0Magerko, Brian', '\xc2\xa0Edwards, Doug', '\xc2\xa0Miller, Morgan', '\xc2\xa0Moore, Roxanne', '\xc2\xa0Anna Xamb\xc3\xb3']"
Regan,female,An In-Situ Study of Real Life Listening Context,"['Diane Watson', '\xc2\xa0Regan L. Mandryk']"
Sam,female,Remote Music Tuition,"['Sam Duffy', '\xc2\xa0Doug Williams', '\xc2\xa0Ian Kegel', '\xc2\xa0Tim Stevens', '\xc2\xa0Jack Jansen', '\xc2\xa0Pablo Cesar', '\xc2\xa0Patrick Healey']"
Sarah-Indriyati,female,"3DMIN вЂ” Challenges and Interventions in Design, Development and Dissemination of New Musical Instruments","['Bovermann, Till', ' Hinrichsen, Amelie', ' Hildebrand Marques Lopes, Dominik', ' de Campo, Alberto', ' Egermann, Hauke', ' Foerstel, Alexander', ' Hardjowirogo, Sarah-Indriyati', ' Pysiewicz, Andreas', ' Weinzierl, Stefan']"
Song,female,EFFECT OF TIMBRE ON MELODY RECOGNITION IN THREE-VOICE COUNTERPOINT MUSIC,"['Chon, Song Hui', '\xc2\xa0Schwartzbach, Kevin', '\xc2\xa0Smith, Bennett', '\xc2\xa0McAdams, Stephen']"
SГЁdes,female,"The HOA library, review and prospects","['Anne, S\xc3\xa8des', ' Pierre, Guillot', ' Eliott, Paris']"
Visda,female,ENGAGEMENT AND INTERACTION IN PARTICIPATORY SOUND ART,"['Goudarzi, Visda', '\xc2\xa0Gioti, Artemi-Maria']"
Xiao,female,A Study on Cross-cultural and Cross-dataset Generalizability of Music Mood Regression Models,"['Hu, Xiao', ' Yang, Yi-Hsuan']"
