Gender1Female,Place,Year,NumberOfAuthors,Conference,,Gender2,,Gender3,,Gender4,,Gender5,,Gender6,,Gender7,,Gender8,,Gender9,,Gender10,,Gender11,,Gender12,,Gender13,,Gender14,,Gender15,,Gender16,,Gender17,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,FirstName1stAuthor,Title
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Neuman, Israel",Israel,SIG~: Performance Interface for Schaefferian Sound-Object Improvisation
male,USA,2015,3,ICMC,,male,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Musick, Michael; Forsyth, Jonathan P.; Bittner, Rachel",Michael,Building a Harmonically Ecosystemic Machine: Combining Sonic Ecosystems with Models of Contemporary Harmonic Language
female,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Einarsson, Anna; Friberg, Anders",Anna,Using Singing Voice Vibrato as a Control Parameter in a Chamber Opera
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Variego, Jorge",Jorge,Architecture in Motion: a Model for Music Composition
male,USA,2015,4,ICMC,,male,,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,,,,,,"Dannenberg, Roger B.; Stiles, Jesse; Li, Yuezhang; Zhang, Qiao",Roger,An Online Interactive Course on Computer Music
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Dudas, Richard",Richard,Another Take on Renovating Dated Technology for Concert Performance
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Rudi, J_œÑŒran",J_œÑŒran,The Just Intonation Automat â€°_«_¢ a Musically Adaptive Interface
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Krupowicz, Stanis_ƒ__aw",Stanis_ƒ__aw,Witold Lutos_ƒ__awski â€°_«_¢ An Algorithmic Music Composer?
male,USA,2015,3,ICMC,,male,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Roberts, Charles; Wright, Matthew; Kuchera-Morin, JoAnn",Charles,Music Programming in Gibber
male,USA,2015,5,ICMC,,male,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"MacCallum, John; Gottfried, Rama; Rostovtsev, Ilya; Bresson, Jean; Freed, Adrian",John,Dynamic Message-Oriented Middleware with Open Sound Control and Odot
