Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male,Female,Unknown
1975,23,2,3,28,0.8214285714285714,0.07142857142857142,0.10714285714285714
1977,22,3,0,25,0.88,0.12,0.0
1978,68,6,2,76,0.8947368421052632,0.07894736842105263,0.02631578947368421
1980,63,5,6,74,0.8513513513513513,0.06756756756756757,0.08108108108108109
1981,73,2,4,79,0.9240506329113924,0.02531645569620253,0.05063291139240506
1982,78,7,4,89,0.8764044943820225,0.07865168539325842,0.0449438202247191
1983,22,3,3,28,0.7857142857142857,0.10714285714285714,0.10714285714285714
1984,63,7,7,77,0.8181818181818182,0.09090909090909091,0.09090909090909091
1985,97,5,3,105,0.9238095238095239,0.047619047619047616,0.02857142857142857
1986,156,7,14,177,0.8813559322033898,0.03954802259887006,0.07909604519774012
1987,76,6,1,83,0.9156626506024096,0.07228915662650602,0.012048192771084338
1988,82,4,5,91,0.9010989010989011,0.04395604395604396,0.054945054945054944
1989,120,9,10,139,0.8633093525179856,0.06474820143884892,0.07194244604316546
1990,196,15,9,220,0.8909090909090909,0.06818181818181818,0.04090909090909091
1991,209,16,7,232,0.9008620689655172,0.06896551724137931,0.03017241379310345
1992,170,12,11,193,0.8808290155440415,0.06217616580310881,0.05699481865284974
1993,199,16,25,240,0.8291666666666667,0.06666666666666667,0.10416666666666667
1994,237,10,4,251,0.9442231075697212,0.0398406374501992,0.01593625498007968
1995,275,21,11,307,0.8957654723127035,0.06840390879478828,0.035830618892508145
1996,262,28,10,300,0.8733333333333333,0.09333333333333334,0.03333333333333333
1997,212,25,9,246,0.8617886178861789,0.1016260162601626,0.036585365853658534
1998,206,13,10,229,0.8995633187772926,0.056768558951965066,0.043668122270742356
1999,276,37,13,326,0.8466257668711656,0.11349693251533742,0.03987730061349693
2000,274,43,9,326,0.8404907975460123,0.13190184049079753,0.027607361963190184
2001,232,22,2,256,0.90625,0.0859375,0.0078125
2002,221,33,10,264,0.8371212121212122,0.125,0.03787878787878788
2003,151,19,4,174,0.867816091954023,0.10919540229885058,0.022988505747126436
2004,280,27,8,315,0.8888888888888888,0.08571428571428572,0.025396825396825397
2005,431,45,11,487,0.8850102669404517,0.09240246406570841,0.022587268993839837
2006,280,30,6,316,0.8860759493670886,0.0949367088607595,0.0189873417721519
2007,446,61,15,522,0.8544061302681992,0.11685823754789272,0.028735632183908046
2008,357,43,8,408,0.875,0.1053921568627451,0.0196078431372549
2009,258,34,6,298,0.8657718120805369,0.11409395973154363,0.020134228187919462
2010,276,25,6,307,0.8990228013029316,0.08143322475570032,0.019543973941368076
2011,270,28,5,303,0.8910891089108911,0.0924092409240924,0.0165016501650165
2012,213,30,6,249,0.8554216867469879,0.12048192771084337,0.024096385542168676
2013,141,19,7,167,0.844311377245509,0.11377245508982035,0.041916167664670656
2014,611,88,15,714,0.8557422969187675,0.12324929971988796,0.02100840336134454
2015,173,31,8,212,0.8160377358490566,0.14622641509433962,0.03773584905660377
2016,198,31,7,236,0.8389830508474576,0.13135593220338984,0.029661016949152543
TotCount,7997,868,304,9169
Tot%,0.8721779910568219,0.09466681208419675,0.03315519685898135,1.0
TotArticles,4417
NamesLowProb,463
