Year,MaleCount,FemaleCount,UnknownCount,TotNames,Male,Female,Unknown
1975,22,2,4,28,0.7857142857142857,0.07142857142857142,0.14285714285714285
1977,21,3,1,25,0.84,0.12,0.04
1978,65,6,5,76,0.8552631578947368,0.07894736842105263,0.06578947368421052
1980,64,5,5,74,0.8648648648648649,0.06756756756756757,0.06756756756756757
1981,70,4,5,79,0.8860759493670886,0.05063291139240506,0.06329113924050633
1982,72,9,8,89,0.8089887640449438,0.10112359550561797,0.0898876404494382
1983,22,3,3,28,0.7857142857142857,0.10714285714285714,0.10714285714285714
1984,60,7,10,77,0.7792207792207793,0.09090909090909091,0.12987012987012986
1985,93,7,5,105,0.8857142857142857,0.06666666666666667,0.047619047619047616
1986,149,9,19,177,0.8418079096045198,0.05084745762711865,0.10734463276836158
1987,75,7,1,83,0.9036144578313253,0.08433734939759036,0.012048192771084338
1988,80,5,6,91,0.8791208791208791,0.054945054945054944,0.06593406593406594
1989,115,11,13,139,0.8273381294964028,0.07913669064748201,0.09352517985611511
1990,189,18,13,220,0.8590909090909091,0.08181818181818182,0.05909090909090909
1991,204,19,9,232,0.8793103448275862,0.08189655172413793,0.03879310344827586
1992,164,15,14,193,0.8497409326424871,0.07772020725388601,0.07253886010362694
1993,195,18,27,240,0.8125,0.075,0.1125
1994,220,17,14,251,0.8764940239043825,0.06772908366533864,0.055776892430278883
1995,257,31,19,307,0.8371335504885994,0.10097719869706841,0.06188925081433225
1996,247,35,18,300,0.8233333333333334,0.11666666666666667,0.06
1997,194,36,16,246,0.7886178861788617,0.14634146341463414,0.06504065040650407
1998,199,18,12,229,0.868995633187773,0.07860262008733625,0.05240174672489083
1999,255,50,21,326,0.7822085889570553,0.15337423312883436,0.06441717791411043
2000,258,54,14,326,0.7914110429447853,0.1656441717791411,0.04294478527607362
2001,224,26,6,256,0.875,0.1015625,0.0234375
2002,209,32,23,264,0.7916666666666666,0.12121212121212122,0.08712121212121213
2003,144,20,10,174,0.8275862068965517,0.11494252873563218,0.05747126436781609
2004,265,31,19,315,0.8412698412698413,0.09841269841269841,0.06031746031746032
2005,410,58,19,487,0.8418891170431212,0.11909650924024641,0.039014373716632446
2006,270,33,13,316,0.8544303797468354,0.10443037974683544,0.04113924050632911
2007,424,65,33,522,0.8122605363984674,0.12452107279693486,0.06321839080459771
2008,346,47,15,408,0.8480392156862745,0.11519607843137254,0.03676470588235294
2009,246,35,17,298,0.825503355704698,0.1174496644295302,0.05704697986577181
2010,257,29,21,307,0.8371335504885994,0.09446254071661238,0.06840390879478828
2011,260,30,13,303,0.858085808580858,0.09900990099009901,0.0429042904290429
2012,195,37,17,249,0.7831325301204819,0.14859437751004015,0.06827309236947791
2013,127,21,19,167,0.7604790419161677,0.12574850299401197,0.11377245508982035
2014,562,108,44,714,0.7871148459383753,0.15126050420168066,0.06162464985994398
2015,165,33,14,212,0.7783018867924528,0.15566037735849056,0.0660377358490566
TotCount,7394,994,545,8933
Tot%,0.8277174521437367,0.11127280868689131,0.06100973916937199,1.0
TotArticles,4300
NamesLowProb,448
